flow_id,packets,bytes,duration,avg_pkt_size,throughput,syn_count,ack_count,fin_count,rst_count,small_packet_ratio,pkt_size_var,interarrival_var,throughput_per_packet,class
25.170.108.114:443-95.137.109.27:57732-6,53.0,47122.0,25.089773178100586,889.0943396226415,1878.1357513877435,1.0,53.0,1.0,0.0,0.2830188679245283,407626.6514773941,9.058616836218636,35.4365236110895,instant-message
95.137.109.27:57732-25.170.108.114:443-6,36.0,4997.0,25.089712858200073,138.80555555555554,199.16529249424352,0.0,36.0,1.0,0.0,0.6666666666666666,14951.26774691358,13.217734448889047,5.532369235951209,instant-message
61.139.26.122:57732-222.79.113.40:443-6,36.0,5285.0,25.0891170501709,146.80555555555554,210.64910293301853,0.0,36.0,1.0,0.0,0.6666666666666666,14951.26774691358,13.217610238596517,5.851363970361626,instant-message
95.137.109.27:59429-233.161.181.133:8000-17,527.0,100379.0,300.4097509384155,190.47248576850095,334.14028568126554,0.0,0.0,0.0,0.0,0.4079696394686907,29549.376377691915,1.371331625294379,0.6340422878202382,instant-message
61.139.26.122:59429-180.101.246.168:8000-17,527.0,104595.0,300.4097809791565,198.47248576850095,348.1744158232224,0.0,0.0,0.0,0.0,0.3548387096774194,29549.376377691915,1.371332167963297,0.6606725157935909,instant-message
95.137.109.27:57725-131.130.231.131:80-6,21.0,5230.0,22.040390968322754,249.04761904761904,237.29161644712858,0.0,21.0,1.0,0.0,0.3333333333333333,20021.95011337868,13.947552311603369,11.299600783196599,instant-message
61.139.26.122:57725-121.14.193.44:80-6,21.0,5398.0,22.0398211479187,257.04761904761904,244.9203178089198,0.0,21.0,1.0,0.0,0.3333333333333333,20021.95011337868,13.94812540273315,11.662872276615229,instant-message
222.79.113.40:443-61.139.26.122:57732-6,52.0,47394.0,25.03630805015564,911.4230769230769,1893.0107388459526,0.0,52.0,1.0,0.0,0.2692307692307692,404728.0517751479,9.23216351370935,36.404052670114474,instant-message
180.101.246.168:8000-61.139.26.122:59429-17,405.0,116701.0,300.4063711166382,288.1506172839506,388.47711373833926,0.0,0.0,0.0,0.0,0.22469135802469137,71337.47114159426,4.471879780609276,0.959202749971208,instant-message
233.161.181.133:8000-95.137.109.27:59429-17,405.0,113461.0,300.40634202957153,280.1506172839506,377.6917598791276,0.0,0.0,0.0,0.0,0.29876543209876544,71337.47114159426,4.471880370889249,0.9325722466151298,instant-message
121.14.193.44:80-61.139.26.122:57725-6,26.0,10972.0,21.960426092147827,422.0,499.6260069800353,0.0,26.0,1.0,0.0,0.5769230769230769,267869.0,11.509833552027622,19.21638488384751,instant-message
131.130.231.131:80-95.137.109.27:57725-6,26.0,10854.0,21.96074414253235,417.46153846153845,494.2455469429461,0.0,26.0,1.0,0.0,0.5769230769230769,265385.4792899408,11.510118096015868,19.009444113190234,instant-message
183.47.99.109:80-61.139.26.122:57722-6,6.0,6997.0,22.6209819316864,1166.1666666666667,309.31460098108886,0.0,6.0,1.0,0.0,0.16666666666666666,276506.80555555556,81.86848240285747,51.552433496848145,instant-message
178.162.5.81:80-95.137.109.27:57722-6,6.0,6955.0,22.622139930725098,1159.1666666666667,307.4421792676567,0.0,6.0,1.0,0.0,0.16666666666666666,274303.4722222222,81.87385965783744,51.24036321127611,instant-message
95.137.109.27:57722-178.162.5.81:80-6,5.0,270.0,22.62158989906311,54.0,11.935500608256639,0.0,5.0,1.0,0.0,1.0,0.0,94.93636180615836,2.387100121651328,instant-message
61.139.26.122:57722-183.47.99.109:80-6,5.0,310.0,22.62153196334839,62.0,13.703758017019572,0.0,5.0,1.0,0.0,1.0,0.0,94.93711176062152,2.7407516034039143,instant-message
95.137.109.27:63380-81.179.190.60:53-17,1.0,71.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,instant-message
61.139.26.122:48298-61.139.2.69:53-17,61.0,5117.0,295.36432099342346,83.88524590163935,17.324367353475758,0.0,0.0,0.0,0.0,1.0,16.593388873958613,93.08944840276773,0.28400602218812715,instant-message
61.139.2.69:53-61.139.26.122:48298-17,61.0,10015.0,295.3635139465332,164.18032786885246,33.90737016290007,0.0,0.0,0.0,0.0,0.39344262295081966,11069.852727761354,93.08971324005692,0.5558585272606569,instant-message
81.179.190.60:53-95.137.109.27:63380-17,1.0,247.0,0.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,instant-message
95.137.109.27:57733-215.151.20.17:443-6,17.0,2151.0,24.69807195663452,126.52941176470588,87.0918184940419,1.0,16.0,1.0,0.0,0.7058823529411765,13435.66089965398,30.54767826575194,5.1230481467083475,instant-message
61.139.26.122:57733-27.155.118.60:443-6,17.0,2287.0,24.697492837905884,134.52941176470588,92.60049248763812,1.0,16.0,1.0,0.0,0.7058823529411765,13435.66089965398,30.54611608561196,5.4470877933904776,instant-message
27.155.118.60:443-61.139.26.122:57733-6,23.0,20812.0,24.639559984207153,904.8695652173913,844.6579408617505,1.0,23.0,1.0,0.0,0.30434782608695654,432614.1134215502,22.927581436252304,36.72425829833698,instant-message
215.151.20.17:443-95.137.109.27:57733-6,23.0,20664.0,24.638937950134277,898.4347826086956,838.6725126635332,1.0,23.0,1.0,0.0,0.30434782608695654,429982.5066162572,22.9277627514694,36.464022289718834,instant-message
61.139.26.122:44646-101.226.7.207:50080-6,12.0,1098.0,300.4224331378937,91.5,3.6548535624702128,0.0,12.0,0.0,0.0,0.5,306.25,891.464130033554,0.3045711302058511,instant-message
101.226.7.207:50080-61.139.26.122:44646-6,12.0,1074.0,300.38833498954773,89.5,3.5753718600203657,0.0,12.0,0.0,0.0,0.5,240.25,893.4747423074033,0.2979476550016971,instant-message
95.137.109.27:63222-81.179.190.60:53-17,1.0,71.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,instant-message
81.179.190.60:53-95.137.109.27:63222-17,1.0,247.0,0.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,instant-message
95.137.109.27:57734-97.248.58.180:443-6,27.0,3741.0,24.286255836486816,138.55555555555554,154.03774155996715,1.0,26.0,1.0,0.0,0.6666666666666666,14830.24691358025,17.35818075129976,5.705101539258043,instant-message
61.139.26.122:57734-27.155.118.96:443-6,27.0,3957.0,24.28609800338745,146.55555555555554,162.9327197579485,1.0,26.0,1.0,0.0,0.6666666666666666,14830.24691358025,17.358252731848886,6.034545176220314,instant-message
27.155.118.96:443-61.139.26.122:57734-6,40.0,35952.0,24.228107213974,898.8,1483.8963556865901,1.0,40.0,1.0,0.0,0.275,407248.16,11.834770267681261,37.09740889216475,instant-message
97.248.58.180:443-95.137.109.27:57734-6,40.0,35692.0,24.228052139282227,892.3,1473.168366768151,1.0,40.0,1.0,0.0,0.275,404744.50999999995,11.835358941454269,36.82920916920377,instant-message
95.137.109.27:57724-97.248.58.180:443-6,4.0,477.0,23.99591612815857,119.25,19.87838253194481,0.0,4.0,1.0,0.0,0.75,12772.6875,125.1249477891795,4.969595632986202,instant-message
61.139.26.122:57724-27.155.118.96:443-6,4.0,509.0,23.995372772216797,127.25,21.212423113065743,0.0,4.0,1.0,0.0,0.75,12772.6875,125.11873131576938,5.303105778266436,instant-message
27.155.118.96:443-61.139.26.122:57724-6,4.0,2435.0,23.942522048950195,608.75,101.70190070292813,0.0,4.0,1.0,0.0,0.5,353550.6875,126.240585194662,25.425475175732032,instant-message
97.248.58.180:443-95.137.109.27:57724-6,4.0,2415.0,23.94275689125061,603.75,100.86557746750175,0.0,4.0,1.0,0.0,0.5,350279.1875,126.24257311555299,25.216394366875438,instant-message
89.248.165.61:52356-61.139.26.122:45247-6,2.0,124.0,0.23748493194580078,62.0,522.1383899349854,1.0,0.0,0.0,1.0,1.0,0.0,0.0,261.0691949674927,instant-message
61.139.26.122:45247-89.248.165.61:52356-6,1.0,62.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,62.0,instant-message
52.17.43.41:2103-180.74.13.14:2103-17,60.0,8640.0,295.28358697891235,144.0,29.260007602850695,0.0,0.0,0.0,0.0,0.0,0.0,3.832448118729171e-06,0.4876667933808449,instant-message
95.137.109.27:57698-20.1.43.255:14000-6,94.0,23866.0,290.9987289905548,253.89361702127658,82.01410391993375,0.0,94.0,0.0,0.0,0.648936170212766,87936.03123585336,14.930738153102686,0.8724904672333377,instant-message
61.139.26.122:57698-121.229.94.224:14000-6,94.0,24984.0,290.9986529350281,265.78723404255317,85.85606753849213,0.0,94.0,0.0,0.0,0.648936170212766,86387.61430511546,14.93085876746355,0.9133624206222567,instant-message
121.229.94.224:14000-61.139.26.122:57698-6,109.0,79006.0,290.9247670173645,724.8256880733945,271.56849109132173,0.0,109.0,0.0,0.0,0.13761467889908258,377954.8778722329,14.183132443785318,2.4914540467093738,instant-message
20.1.43.255:14000-95.137.109.27:57698-6,109.0,78218.0,290.9248969554901,717.5963302752293,268.8597669657916,0.0,109.0,0.0,0.0,0.13761467889908258,376937.30494066165,14.183130162455015,2.4666033666586387,instant-message
95.137.109.27:57735-95.175.63.238:443-6,8.0,1336.0,0.23871898651123047,167.0,5596.538505483091,1.0,7.0,0.0,0.0,0.5,20035.5,0.0006655259926841312,699.5673131853864,instant-message
95.137.109.27:57736-95.175.63.238:443-6,8.0,1394.0,0.3215489387512207,174.25,4335.265435531493,1.0,7.0,0.0,0.0,0.5,19634.1875,0.003059223191919082,541.9081794414366,instant-message
95.137.109.27:57737-95.175.63.238:443-6,8.0,1394.0,0.3362910747528076,174.25,4145.218546239047,1.0,7.0,0.0,0.0,0.5,19634.1875,0.003210032952243377,518.1523182798809,instant-message
61.139.26.122:57735-113.108.27.67:443-6,8.0,1400.0,0.23802614212036133,175.0,5881.7068895401835,1.0,7.0,0.0,0.0,0.5,20035.5,0.00065755540934528,735.2133611925229,instant-message
61.139.26.122:57736-113.108.27.67:443-6,8.0,1458.0,0.32155394554138184,182.25,4534.231410363352,1.0,7.0,0.0,0.0,0.5,19634.1875,0.003067975766997251,566.778926295419,instant-message
61.139.26.122:57737-113.108.27.67:443-6,8.0,1458.0,0.33600497245788574,182.25,4339.221498225724,1.0,7.0,0.0,0.0,0.5,19634.1875,0.003204200896884315,542.4026872782155,instant-message
113.108.27.67:443-61.139.26.122:57736-6,11.0,4937.0,0.28523993492126465,448.8181818181818,17308.235613511726,1.0,11.0,1.0,0.0,0.5454545454545454,285017.2396694215,0.0016554808229903985,1573.4759648647023,instant-message
95.175.63.238:443-95.137.109.27:57736-6,11.0,4873.0,0.2856719493865967,443.0,17058.02760986317,1.0,11.0,1.0,0.0,0.5454545454545454,283337.63636363635,0.0016566207712827464,1550.7297827148336,instant-message
113.108.27.67:443-61.139.26.122:57737-6,11.0,4937.0,0.29837489128112793,448.8181818181818,16546.298446233446,1.0,11.0,1.0,0.0,0.5454545454545454,285017.2396694215,0.0017403195546904725,1504.2089496575861,instant-message
95.175.63.238:443-95.137.109.27:57737-6,11.0,4873.0,0.29835081100463867,443.0,16333.1213466158,1.0,11.0,1.0,0.0,0.5454545454545454,283337.63636363635,0.0017369786739800473,1484.829213328709,instant-message
95.137.109.27:57723-131.130.231.131:80-6,71.0,22778.0,19.015550136566162,320.8169014084507,1197.8617413860036,0.0,71.0,1.0,0.0,0.09859154929577464,8184.065066455069,3.3754554832240315,16.871292132197233,instant-message
61.139.26.122:57723-121.14.193.44:80-6,71.0,23352.0,19.01484990119934,328.90140845070425,1228.092786497731,0.0,71.0,1.0,0.0,0.09859154929577464,8139.469152945845,3.375845901176311,17.29708149996804,instant-message
113.108.27.67:443-61.139.26.122:57735-6,11.0,5217.0,0.19355988502502441,474.27272727272725,26952.898837099016,1.0,11.0,1.0,0.0,0.5454545454545454,304934.92561983474,0.00036597210503771296,2450.263530645365,instant-message
95.175.63.238:443-95.137.109.27:57735-6,11.0,5159.0,0.19429397583007812,469.0,26552.54738578132,1.0,11.0,1.0,0.0,0.5454545454545454,302695.0909090909,0.00035858114857546754,2413.8679441619383,instant-message
121.14.193.44:80-61.139.26.122:57723-6,103.0,28957.0,18.975770950317383,281.13592233009706,1525.99860505355,0.0,103.0,1.0,0.0,0.6310679611650486,144465.6320105571,2.3586983451548837,14.815520437413106,instant-message
131.130.231.131:80-95.137.109.27:57723-6,103.0,28523.0,18.975709915161133,276.92233009708735,1503.1321688371097,0.0,103.0,1.0,0.0,0.6310679611650486,142814.53765670655,2.358756693869302,14.593516202302036,instant-message
61.139.26.122:37144-218.78.39.160:6880-6,6.0,738.0,200.25327682495117,123.0,3.685332952854066,0.0,6.0,0.0,0.0,0.5,3721.0,2401.4707657442405,0.614222158809011,instant-message
218.78.39.160:6880-61.139.26.122:37144-6,3.0,360.0,200.2143280506134,120.0,1.7980731124747147,0.0,3.0,0.0,0.0,0.0,0.0,5.172508907946849e-05,0.5993577041582382,instant-message
172.104.144.88:57952-61.139.26.122:61807-6,2.0,124.0,0.3316340446472168,62.0,373.9061233351594,1.0,0.0,0.0,1.0,1.0,0.0,0.0,186.9530616675797,instant-message
61.139.26.122:61807-172.104.144.88:57952-6,1.0,62.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,62.0,instant-message
40.117.56.16:2103-180.74.13.14:2103-17,60.0,7860.0,295.24567580223083,131.0,26.62189709855392,0.0,0.0,0.0,0.0,0.0,0.0,3.3398777691303043e-06,0.44369828497589864,instant-message
182.242.50.68:443-61.139.26.122:57716-6,2.0,124.0,15.105468988418579,62.0,8.208947374958782,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.104473687479391,instant-message
189.169.52.229:443-95.137.109.27:57716-6,2.0,120.0,15.104832172393799,60.0,7.944477544035004,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.972238772017502,instant-message
95.137.109.27:57716-189.169.52.229:443-6,2.0,108.0,15.091655015945435,54.0,7.156272780280898,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.578136390140449,instant-message
61.139.26.122:57716-182.242.50.68:443-6,2.0,124.0,15.091354131698608,62.0,8.216625156224014,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.108312578112007,instant-message
182.242.50.68:443-61.139.26.122:57719-6,2.0,124.0,15.09871792793274,62.0,8.21261782568963,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.106308912844815,instant-message
182.242.50.68:443-61.139.26.122:57718-6,2.0,124.0,15.098675966262817,62.0,8.212640649886875,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.106320324943438,instant-message
182.242.50.68:443-61.139.26.122:57715-6,2.0,124.0,15.097085952758789,62.0,8.213505598896102,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.106752799448051,instant-message
