flow_id,packets,bytes,duration,avg_pkt_size,throughput,syn_count,ack_count,fin_count,rst_count,small_packet_ratio,pkt_size_var,interarrival_var,throughput_per_packet,class
17.78.121.3:5353-161.221.227.147:5353-17,23.0,6839.0,108.81736421585083,297.3478260869565,62.84842542624094,0.0,0.0,0.0,0.0,0.17391304347826086,42567.61814744801,155.48482928831368,2.732540235923519,mail
88.99.85.235:443-61.139.26.122:56885-6,13.0,2592.0,180.8085539340973,199.3846153846154,14.335604945686116,0.0,13.0,1.0,0.0,0.6153846153846154,76223.00591715975,787.4916956329768,1.102738841975855,mail
118.40.164.249:443-4.40.177.33:56885-6,13.0,2518.0,180.80884408950806,193.69230769230768,13.92630992515766,0.0,13.0,1.0,0.0,0.6923076923076923,75597.44378698224,787.4900954421064,1.0712546096275124,mail
4.40.177.33:56885-118.40.164.249:443-6,12.0,834.0,180.56597113609314,69.5,4.618810481025861,0.0,12.0,1.0,0.0,0.9166666666666666,1229.4166666666667,466.68301561888944,0.38490087341882173,mail
61.139.26.122:56885-88.99.85.235:443-6,12.0,930.0,180.56545305252075,77.5,5.150486897011759,0.0,12.0,1.0,0.0,0.9166666666666666,1229.4166666666667,466.6843083133071,0.4292072414176466,mail
127.0.0.1:0-114.114.114.114:0-1,3.0,318.0,2.003242015838623,106.0,158.74267686367128,0.0,0.0,0.0,0.0,0.0,0.0,2.1526125237869564e-07,52.91422562122376,mail
4.40.177.33:56851-2.37.47.230:443-6,2.0,132.0,8.003298044204712,66.0,16.493200586923393,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.246600293461697,mail
61.139.26.122:56851-142.251.43.10:443-6,2.0,148.0,8.003647089004517,74.0,18.49156994981997,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.245784974909984,mail
4.40.177.33:56820-187.200.33.22:80-6,1.0,66.0,0.0,66.0,66.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,mail
4.40.177.33:56886-187.200.33.22:80-6,10.0,660.0,36.05056810379028,66.0,18.307617180951137,10.0,0.0,0.0,0.0,1.0,0.0,6.885037520724749,1.8307617180951137,mail
61.139.26.122:56820-120.92.208.196:80-6,1.0,74.0,0.0,74.0,74.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,74.0,mail
61.139.26.122:56886-120.92.208.196:80-6,10.0,740.0,36.050666093826294,74.0,20.526666499699587,10.0,0.0,0.0,0.0,1.0,0.0,6.88414067526995,2.0526666499699586,mail
61.139.26.122:48298-61.139.2.69:53-17,258.0,22515.0,299.9268138408661,87.26744186046511,75.0683132050538,0.0,0.0,0.0,0.0,0.8953488372093024,50.63002523886786,9.692685951047366,0.29096245428315426,mail
