flow_id,packets,bytes,duration,avg_pkt_size,throughput,syn_count,ack_count,fin_count,rst_count,small_packet_ratio,pkt_size_var,interarrival_var,throughput_per_packet,class
14.18.202.194:8002-61.139.26.122:52124-6,7.0,767.0,298.0991611480713,109.57142857142857,2.5729693335803017,1.0,7.0,0.0,0.0,0.7142857142857143,5472.2448979591845,12074.078495967084,0.3675670476543288,video
61.139.26.122:52124-14.18.202.194:8002-6,7.0,1359.0,298.1000430583954,194.14285714285714,4.558872202959672,0.0,7.0,0.0,0.0,0.7142857142857143,45161.55102040817,12070.386435271059,0.6512674575656675,video
61.139.26.122:33054-118.123.207.181:443-6,301.0,85779.0,301.3827199935913,284.98006644518273,284.6181758590009,0.0,301.0,0.0,0.0,0.6744186046511628,92680.66405448064,13.191537427304695,0.9455753350797373,video
118.123.207.181:443-61.139.26.122:33054-6,399.0,357101.0,301.37853598594666,894.9899749373434,1184.891946043071,0.0,399.0,0.0,0.0,0.24060150375939848,321402.0249621547,10.148925333293155,2.9696540001079472,video
203.107.1.1:80-61.139.26.122:41348-6,5.0,644.0,5.086562871932983,128.8,126.60808805755873,1.0,5.0,1.0,0.0,0.8,16303.36,4.6350265315673305,25.321617611511748,video
125.64.131.11:443-61.139.26.122:43618-6,1143.0,614417.0,301.1690399646759,537.5476815398075,2040.1067788112116,0.0,1143.0,0.0,0.0,0.31408573928258965,380991.6125558671,3.4783808904257847,1.7848703226694764,video
203.107.1.34:80-61.139.26.122:36508-6,6.0,1105.0,5.213337182998657,184.16666666666666,211.9563652248588,1.0,6.0,1.0,0.0,0.6666666666666666,33503.472222222226,3.916173325890314,35.326060870809805,video
61.139.26.122:41348-203.107.1.1:80-6,4.0,416.0,5.043278932571411,104.0,82.48601863230566,0.0,4.0,1.0,0.0,0.75,5292.0,5.5087837043895815,20.621504658076415,video
61.139.26.122:43618-125.64.131.11:443-6,1086.0,565337.0,301.1666810512543,520.5681399631676,1877.1565235125984,0.0,1086.0,0.0,0.0,0.574585635359116,361159.0004214022,3.6487476531410734,1.728505086107365,video
61.139.26.122:36508-203.107.1.34:80-6,6.0,942.0,5.171488046646118,157.0,182.15260124422375,0.0,6.0,1.0,0.0,0.6666666666666666,18610.333333333332,3.9314053581386723,30.35876687403729,video
61.139.26.122:48298-61.139.2.69:53-17,140.0,11999.0,301.1069791316986,85.70714285714286,39.849624324887735,0.0,0.0,0.0,0.0,1.0,8.66423469387755,20.868579137379243,0.2846401737491981,video
61.139.2.69:53-61.139.26.122:48298-17,140.0,33446.0,301.10698199272156,238.9,111.0767999421829,0.0,0.0,0.0,0.0,0.014285714285714285,6408.318571428572,20.86896490110516,0.7934057138727351,video
61.139.26.122:41626-116.207.144.117:443-6,10.0,2045.0,0.20916509628295898,204.5,9776.965833886165,1.0,9.0,0.0,0.0,0.7,65793.25,0.0008713221659111999,977.6965833886164,video
61.139.26.122:53624-203.107.1.35:80-6,5.0,666.0,5.083818197250366,133.2,131.00389788923073,1.0,4.0,1.0,0.0,0.8,17589.760000000002,4.634578058230812,26.200779577846145,video
61.139.26.122:33110-119.29.29.29:53-17,2.0,190.0,0.00028514862060546875,95.0,666319.1973244147,0.0,0.0,0.0,0.0,1.0,0.0,0.0,333159.59866220737,video
61.139.26.122:33110-223.5.5.5:53-17,2.0,190.0,0.00020194053649902344,95.0,940871.0271546635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,470435.51357733173,video
116.207.144.117:443-61.139.26.122:41626-6,11.0,6085.0,300.82912707328796,553.1818181818181,20.227429634888953,1.0,9.0,1.0,2.0,0.5454545454545454,386022.694214876,8132.296454088867,1.8388572395353593,video
223.5.5.5:53-61.139.26.122:33110-17,2.0,812.0,4.8160552978515625e-05,406.0,16860271.524752475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8430135.762376238,video
79.124.56.118:46910-61.139.26.122:46498-6,2.0,124.0,0.26384997367858887,62.0,469.9640415770959,1.0,0.0,0.0,1.0,1.0,0.0,0.0,234.98202078854794,video
61.139.26.122:46498-79.124.56.118:46910-6,1.0,62.0,0.0,62.0,62.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,62.0,video
61.139.26.122:53626-203.107.1.35:80-6,5.0,655.0,5.072901010513306,131.0,129.11744160640015,1.0,4.0,1.0,0.0,0.8,16444.0,4.640814340748744,25.82348832128003,video
61.139.26.122:48928-125.64.131.15:443-6,781.0,240253.0,301.3461320400238,307.6222791293214,797.2659160200881,0.0,781.0,0.0,0.0,0.649167733674776,127459.05963168138,6.280089710795714,1.0208270371576031,video
116.207.144.117:0-61.139.26.122:0-6,3.0,180.0,0.002724170684814453,60.0,66075.15490985471,0.0,0.0,0.0,0.0,1.0,0.0,1.5175992871263588e-06,22025.05163661824,video
203.107.1.35:80-61.139.26.122:53624-6,5.0,1310.0,5.083521842956543,262.0,257.69536169399294,1.0,5.0,1.0,0.0,0.8,155257.6,4.6344174025902305,51.53907233879859,video
119.29.29.29:53-61.139.26.122:33110-17,2.0,812.0,9.703636169433594e-05,406.0,8367997.16953317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183998.584766585,video
61.139.26.122:40872-116.207.144.117:80-6,6.0,678.0,0.21070194244384766,113.0,3217.8156125954456,1.0,5.0,1.0,0.0,0.8333333333333334,11098.333333333334,0.0025971689393509225,536.302602099241,video
125.64.131.15:443-61.139.26.122:48928-6,924.0,445150.0,301.34646797180176,481.7640692640693,1477.2033101833288,0.0,924.0,0.0,0.0,0.4145021645021645,231044.67160941506,5.3332742696096584,1.5987048811507887,video
61.139.26.122:43598-125.64.131.11:443-6,762.0,231038.0,301.3400101661682,303.1994750656168,766.7020382477538,0.0,762.0,0.0,0.0,0.6561679790026247,128548.22005221788,6.470937348370507,1.0061706538684432,video
203.107.1.35:80-61.139.26.122:53626-6,5.0,1096.0,5.073164939880371,219.2,216.0387081808234,1.0,5.0,1.0,0.0,0.8,95132.15999999999,4.64098029663117,43.20774163616468,video
125.64.131.11:443-61.139.26.122:43598-6,867.0,410955.0,301.33902406692505,473.9965397923875,1363.7629619080803,0.0,867.0,0.0,0.0,0.42214532871972316,218408.35638941106,5.708886707869163,1.5729676607936336,video
61.139.26.122:41210-82.157.34.97:443-6,14.0,3081.0,300.1827039718628,220.07142857142858,10.263749240824993,1.0,13.0,0.0,1.0,0.7857142857142857,140518.63775510204,5848.872360564896,0.7331249457732137,video
116.207.144.117:80-61.139.26.122:40872-6,5.0,1572.0,7.966223955154419,314.4,197.33314163015243,1.0,4.0,1.0,1.0,0.8,248823.03999999998,11.179685138960206,39.46662832603049,video
61.139.26.122:47750-106.39.171.132:443-6,15.0,3234.0,60.20204186439514,215.6,53.71910818713711,1.0,14.0,1.0,0.0,0.7333333333333333,136746.90666666668,238.665744374983,3.581273879142474,video
61.139.26.122:34708-58.49.216.150:443-6,14.0,2764.0,300.1402108669281,197.42857142857142,9.209029313388012,1.0,13.0,0.0,1.0,0.7857142857142857,108314.2448979592,3793.7186774505626,0.6577878080991437,video
82.157.34.97:443-61.139.26.122:41210-6,13.0,5626.0,300.18291306495667,432.7692307692308,18.74190620164509,1.0,12.0,2.0,1.0,0.5384615384615384,250843.71597633138,6289.830100563001,1.4416850924342377,video
61.139.26.122:33086-118.123.207.181:443-6,1273.0,121222.0,292.3989260196686,95.2254516889238,414.5774461286696,1.0,1272.0,0.0,0.0,0.8735271013354281,3722.3945760921283,4.8838985867378435,0.325669635607753,video
58.49.216.150:443-61.139.26.122:34708-6,13.0,6621.0,300.1378610134125,509.3076923076923,22.059862683249158,1.0,12.0,1.0,1.0,0.5384615384615384,329650.6745562129,4062.944982032135,1.696912514096089,video
61.139.26.122:34538-218.91.197.67:443-6,9.0,2545.0,0.2007458209991455,282.77777777777777,12677.723438192186,1.0,8.0,0.0,0.0,0.6666666666666666,177432.17283950618,0.0006056135832457343,1408.6359375769096,video
118.123.207.181:443-61.139.26.122:33086-6,6768.0,8539438.0,292.39596605300903,1261.737293144208,29205.04723533658,1.0,6768.0,0.0,0.0,0.004137115839243499,168045.3118952734,0.9274074011781697,4.315166553684483,video
61.139.26.122:33090-118.123.207.181:443-6,12.0,1635.0,2.0453548431396484,136.25,799.372297420164,1.0,11.0,0.0,1.0,0.75,20618.020833333332,0.32331518478301413,66.614358118347,video
118.123.207.181:443-61.139.26.122:33090-6,11.0,6820.0,0.05413818359375,620.0,125973.93461104848,1.0,11.0,1.0,0.0,0.2727272727272727,364575.8181818182,0.00010953224234299345,11452.17587373168,video
106.39.171.132:443-61.139.26.122:47750-6,15.0,5696.0,60.20187592506409,379.73333333333335,94.61499184992276,1.0,13.0,1.0,2.0,0.4666666666666667,261111.26222222226,237.9041324359564,6.307666123328184,video
218.91.197.67:443-61.139.26.122:34538-6,10.0,4900.0,0.20101499557495117,490.0,24376.290863200644,1.0,9.0,1.0,1.0,0.5,303303.8,0.0007337052544064563,2437.6290863200643,video
61.139.26.122:47904-223.109.148.177:443-6,13.0,5349.0,0.1751861572265625,411.46153846153845,30533.234387248496,1.0,12.0,1.0,0.0,0.6153846153846154,293592.8639053255,0.0004244156853966767,2348.7103374806534,video
61.139.26.122:47158-39.98.63.12:443-6,14.0,2899.0,180.28456783294678,207.07142857142858,16.080133950711957,1.0,13.0,1.0,0.0,0.7142857142857143,122854.0663265306,2300.0081764270917,1.1485809964794256,video
61.139.26.122:53568-123.57.133.170:443-6,14.0,3353.0,300.2024030685425,239.5,11.169131111966616,1.0,13.0,0.0,1.0,0.6428571428571429,143500.25,3066.380901452709,0.7977950794261869,video
106.39.171.132:0-61.139.26.122:0-6,2.0,120.0,0.00013113021850585938,60.0,915120.8727272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,457560.43636363634,video
218.91.197.67:0-61.139.26.122:0-6,2.0,120.0,0.00012612342834472656,60.0,951448.9224952741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,475724.46124763705,video
223.109.148.177:443-61.139.26.122:47904-6,12.0,4541.0,0.16646385192871094,378.4166666666667,27279.195737611,1.0,10.0,1.0,2.0,0.5833333333333334,269987.74305555556,0.0003781955853447689,2273.2663114675834,video
61.139.26.122:56022-182.242.89.239:443-6,19.0,4529.0,120.20954394340515,238.3684210526316,37.67587706789954,1.0,18.0,1.0,0.0,0.7368421052631579,165558.44321329636,755.4338766616919,1.9829408983105021,video
182.242.89.239:443-61.139.26.122:56022-6,18.0,6408.0,127.28154706954956,356.0,50.34508259471832,1.0,15.0,1.0,3.0,0.5,274270.0,793.9523666473482,2.7969490330399065,video
39.98.63.12:443-61.139.26.122:47158-6,16.0,4725.0,180.28463292121887,295.3125,26.208556566575144,1.0,14.0,1.0,2.0,0.4375,210202.21484375,2015.5659475266386,1.6380347854109465,video
123.57.133.170:443-61.139.26.122:53568-6,13.0,4835.0,300.2024209499359,371.9230769230769,16.10579949588855,1.0,12.0,1.0,1.0,0.5384615384615384,252588.07100591718,3275.883392811591,1.2389076535298886,video
61.139.26.122:57534-219.144.80.179:4761-6,29.0,7579.0,270.1339738368988,261.3448275862069,28.056448777435303,1.0,28.0,0.0,0.0,0.5172413793103449,41168.77764565993,217.11514855649088,0.967463750946045,video
61.139.26.122:48806-171.15.136.14:4761-6,4.0,304.0,0.10255098342895508,76.0,2964.379178387929,1.0,3.0,1.0,0.0,1.0,12.0,0.0005822739098120009,741.0947945969823,video
223.109.148.177:0-61.139.26.122:0-6,2.0,120.0,0.00015211105346679688,60.0,788897.3040752352,0.0,0.0,0.0,0.0,1.0,0.0,0.0,394448.6520376176,video
61.139.26.122:34040-111.172.239.146:4761-6,28.0,7137.0,270.1320469379425,254.89285714285714,26.420412094384286,1.0,27.0,0.0,0.0,0.5357142857142857,41431.88137755102,221.26622763891677,0.9435861462280102,video
182.242.89.239:0-61.139.26.122:0-6,4.0,240.0,0.3530311584472656,60.0,679.8266789129613,0.0,0.0,0.0,0.0,1.0,0.0,0.027639076541251802,169.9566697282403,video
219.144.80.179:4761-61.139.26.122:57534-6,19.0,4702.0,270.11624789237976,247.47368421052633,17.407320132306072,1.0,19.0,0.0,0.0,0.15789473684210525,13094.670360110802,258.5200600226892,0.9161747438055827,video
125.64.131.11:0-61.139.26.122:0-6,439.0,26340.0,301.13149309158325,60.0,87.4700939764849,0.0,0.0,0.0,0.0,1.0,0.0,12.233309695116066,0.19924850564119567,video
111.172.239.146:4761-61.139.26.122:34040-6,18.0,4376.0,270.1010580062866,243.11111111111111,16.201343424201426,1.0,18.0,0.0,0.0,0.16666666666666666,13460.543209876545,259.5776634172009,0.900074634677857,video
123.57.133.170:0-61.139.26.122:0-6,2.0,120.0,0.00013589859008789062,60.0,883011.3684210526,0.0,0.0,0.0,0.0,1.0,0.0,0.0,441505.6842105263,video
171.15.136.14:4761-61.139.26.122:48806-6,2.0,156.0,0.054548025131225586,78.0,2859.865221971144,1.0,2.0,1.0,0.0,1.0,16.0,0.0,1429.932610985572,video
61.139.26.122:56030-182.242.89.239:443-6,437.0,172768.0,300.82906198501587,395.35011441647595,574.3062151641635,1.0,436.0,0.0,0.0,0.505720823798627,138252.0261613142,12.33428813366594,1.3142018653642187,video
182.242.89.239:443-61.139.26.122:56030-6,654.0,104678.0,300.81446504592896,160.05810397553518,347.98193625435385,1.0,654.0,0.0,0.0,0.3302752293577982,14717.99356582405,8.356649854433982,0.5320824713369325,video
61.139.26.122:48900-118.123.207.187:443-6,1170.0,115347.0,300.4923470020294,98.58717948717948,383.86002555739293,1.0,1169.0,0.0,0.0,0.8461538461538461,3787.562057856674,4.84935254358425,0.3280854919293957,video
118.123.207.187:443-61.139.26.122:48900-6,4753.0,5888084.0,300.487144947052,1238.814222596255,19595.127775058474,1.0,4753.0,0.0,0.0,0.00547022932884494,184816.38017221808,1.2080319094373215,4.1226862560611135,video
61.139.26.122:41584-140.143.180.29:443-6,1.0,62.0,0.0,62.0,62.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,62.0,video
140.143.180.29:443-61.139.26.122:41584-6,1.0,62.0,0.0,62.0,62.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,62.0,video
183.216.230.70:60861-17.15.186.59:1900-17,4.0,868.0,3.0272960662841797,217.0,286.724516200167,0.0,0.0,0.0,0.0,0.0,0.0,3.231744245921517e-05,71.68112905004175,video
162.134.78.15:2103-150.183.186.84:2103-17,48.0,6912.0,295.26052808761597,144.0,23.40983417176889,0.0,0.0,0.0,0.0,0.0,0.0,75.114689901937,0.4877048785785185,video
61.139.26.122:38638-140.205.60.46:443-6,18.0,2469.0,1.6183559894561768,137.16666666666666,1525.6223081237329,1.0,17.0,1.0,0.0,0.8333333333333334,34561.694444444445,0.08626179283986352,84.75679489576294,video
140.205.60.46:443-61.139.26.122:38638-6,15.0,9968.0,1.6212940216064453,664.5333333333333,6148.175387782712,1.0,14.0,1.0,1.0,0.4,401746.2488888889,0.11643959355325016,409.87835918551417,video
140.205.60.46:0-61.139.26.122:0-6,5.0,300.0,0.0005130767822265625,60.0,584707.8066914498,0.0,0.0,0.0,0.0,1.0,0.0,5.826450433232822e-11,116941.56133828996,video
61.139.26.122:47954-140.143.180.29:80-6,2.0,124.0,0.036376953125,62.0,3408.751677852349,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1704.3758389261745,video
140.143.180.29:80-61.139.26.122:47954-6,1.0,62.0,0.0,62.0,62.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,62.0,video
61.139.26.122:36180-118.123.207.183:443-6,1229.0,139110.0,297.76083183288574,113.18958502847843,467.1870344521123,0.0,1229.0,0.0,0.0,0.9349064279902359,22055.507588843262,4.3276204945511525,0.38013591086420856,video
118.123.207.183:443-61.139.26.122:36180-6,2838.0,3682694.0,297.7588860988617,1297.6370683579985,12368.04062592199,0.0,2838.0,0.0,0.0,0.005285412262156448,121871.3820226951,1.8913687118825377,4.358012905539813,video
61.139.26.122:45268-116.207.144.116:443-6,20.0,2370.0,120.29485893249512,118.5,19.701590084826098,1.0,19.0,1.0,0.0,0.8,18510.75,717.7749204673962,0.9850795042413049,video
61.139.26.122:36150-36.110.225.162:80-6,5.0,831.0,0.08156991004943848,166.2,10187.58019343581,1.0,4.0,1.0,0.0,0.8,39422.56,0.0003697977785002138,2037.5160386871619,video
61.139.26.122:33058-118.123.207.181:443-6,373.0,89223.0,298.29090309143066,239.20375335120644,299.1140496586039,0.0,373.0,0.0,0.0,0.7426273458445041,79068.99333711878,12.5008626955991,0.8019143422482679,video
118.123.207.181:443-61.139.26.122:33058-6,426.0,387216.0,298.28711009025574,908.9577464788732,1298.1318565285512,0.0,426.0,0.0,0.0,0.22535211267605634,327607.1860080672,11.023176632269507,3.0472578791750027,video
61.139.26.122:48988-125.64.131.15:443-6,46.0,17850.0,230.85009789466858,388.04347826086956,77.32290418236916,1.0,45.0,0.0,0.0,0.5217391304347826,221893.69376181482,167.5685787415742,1.6809326996167209,video
61.139.26.122:39488-125.64.131.9:443-6,679.0,216838.0,298.2898051738739,319.34904270986743,726.9373483066395,1.0,678.0,0.0,0.0,0.6229749631811488,125455.56741808212,7.228482554703989,1.0705999238683939,video
125.64.131.15:443-61.139.26.122:48988-6,58.0,13858.0,230.84071016311646,238.93103448275863,60.0327385503522,1.0,58.0,0.0,0.0,0.3620689655172414,105692.65041617124,136.79179796305797,1.0350472163853828,video
125.64.131.9:443-61.139.26.122:39488-6,805.0,371977.0,298.28990507125854,462.0832298136646,1247.0318092432203,1.0,805.0,0.0,0.0,0.422360248447205,210429.95953242542,6.1283991953338806,1.5491078375692178,video
116.207.144.116:443-61.139.26.122:45268-6,20.0,10765.0,127.53318691253662,538.25,84.40940166721256,1.0,17.0,1.0,3.0,0.45,396827.1875,715.5652179240542,4.220470083360628,video
125.64.131.15:0-61.139.26.122:0-6,120.0,7200.0,297.7895679473877,60.0,24.178147171602962,0.0,0.0,0.0,0.0,1.0,0.0,51.291026207287345,0.20148455976335802,video
61.139.26.122:39288-125.64.131.8:443-6,17.0,2147.0,0.21974611282348633,126.29411764705883,9770.366230435226,1.0,16.0,1.0,0.0,0.7058823529411765,19268.207612456747,0.00028331673588066764,574.7274253197191,video
125.64.131.9:0-61.139.26.122:0-6,93.0,5580.0,298.1493570804596,60.0,18.715452062820187,0.0,0.0,0.0,0.0,1.0,0.0,51.61086954781205,0.20124142003032458,video
36.110.225.162:80-61.139.26.122:36150-6,5.0,819.0,0.08179402351379395,163.8,10012.956507291536,1.0,5.0,1.0,0.0,0.8,39067.35999999999,0.00039036102138467754,2002.591301458307,video
125.64.131.8:443-61.139.26.122:39288-6,17.0,6341.0,7.579699993133545,373.0,836.57664627153,1.0,15.0,1.0,2.0,0.5294117647058824,291732.1176470588,3.161297427506851,49.210390957148824,video
116.207.144.116:0-61.139.26.122:0-6,594.0,35640.0,298.0913338661194,60.0,119.56067134781871,0.0,0.0,0.0,0.0,1.0,0.0,10.867031880609824,0.2012805914946443,video
125.64.131.8:0-61.139.26.122:0-6,46.0,2760.0,293.20764088630676,60.0,9.413124404456461,0.0,0.0,0.0,0.0,1.0,0.0,126.31238968536327,0.20463313922731438,video
61.139.26.122:54118-116.207.144.249:443-6,619.0,79292.0,297.9964020252228,128.09693053311793,266.0837495389915,1.0,618.0,0.0,0.0,0.9095315024232633,35125.8969049564,9.390747494856953,0.4298606616138797,video
116.207.144.249:443-61.139.26.122:54118-6,634.0,805386.0,297.97051787376404,1270.3249211356467,2702.9049912287087,1.0,634.0,0.0,0.0,0.083596214511041,229289.89442625557,9.20603746465799,4.263257083956954,video
116.207.144.249:0-61.139.26.122:0-6,482.0,28920.0,297.93654108047485,60.0,97.0676503631305,0.0,0.0,0.0,0.0,1.0,0.0,13.947745524010678,0.2013851667284865,video
61.139.26.122:42088-116.207.144.250:443-6,485.0,75102.0,289.5668680667877,154.84948453608249,259.35978277279276,1.0,484.0,0.0,0.0,0.8639175257731959,46891.89280901264,10.046344079944697,0.5347624387067892,video
61.139.26.122:39496-125.64.131.9:443-6,13.0,2009.0,120.183109998703,154.53846153846155,16.716159200920004,1.0,12.0,0.0,0.0,0.7692307692307693,35900.24852071007,1099.18035603574,1.2858584000707696,video
125.64.131.9:443-61.139.26.122:39496-6,12.0,6645.0,120.1723051071167,553.75,55.295602377577076,1.0,12.0,2.0,0.0,0.5,350220.3541666667,1189.2255337240697,4.607966864798089,video
61.139.26.122:45284-116.207.144.116:443-6,691.0,85012.0,297.89116883277893,123.02749638205499,285.3793898392518,1.0,690.0,0.0,0.0,0.9131693198263386,29912.732963196442,7.530894886957033,0.4129947754547783,video
116.207.144.250:443-61.139.26.122:42088-6,526.0,608739.0,289.54222202301025,1157.2984790874525,2102.418762095508,1.0,526.0,0.0,0.0,0.12737642585551331,303023.98505472107,9.321134503717316,3.9969938442880384,video
116.207.144.116:443-61.139.26.122:45284-6,755.0,960340.0,297.8634490966797,1271.9735099337747,3224.094808921304,1.0,755.0,0.0,0.0,0.08079470198675497,229437.1754572168,6.932994695327975,4.270324250226892,video
116.207.144.250:0-61.139.26.122:0-6,348.0,20880.0,288.21060705184937,60.0,72.44702134173593,0.0,0.0,0.0,0.0,1.0,0.0,17.39070009871123,0.20818109580958602,video
61.139.26.122:36166-36.110.225.162:80-6,8.0,5567.0,0.09696006774902344,695.875,57415.38892495328,1.0,7.0,1.0,0.0,0.5,442647.609375,0.0005105703906440109,7176.92361561916,video
115.174.118.115:2103-150.183.186.84:2103-17,48.0,6288.0,296.8230230808258,131.0,21.18434053644066,0.0,0.0,0.0,0.0,0.0,0.0,79.12116839661607,0.44134042784251376,video
61.139.26.122:37460-115.227.15.241:443-6,11.0,2271.0,195.94376611709595,206.45454545454547,11.590059969771383,1.0,10.0,0.0,0.0,0.7272727272727273,67261.70247933883,3443.981138809234,1.0536418154337621,video
36.110.225.162:80-61.139.26.122:36166-6,8.0,1065.0,0.0968010425567627,133.125,11001.947622366772,1.0,8.0,1.0,0.0,0.875,33740.359375,0.0002672004573408843,1375.2434527958465,video
61.139.26.122:59426-220.181.106.151:5222-6,3.0,474.0,125.59193992614746,158.0,3.7741275457543604,0.0,3.0,0.0,0.0,0.6666666666666666,16224.0,3933.1428943995425,1.2580425152514534,video
115.227.15.241:443-61.139.26.122:37460-6,9.0,4792.0,195.8603219985962,532.4444444444445,24.466415408192507,1.0,9.0,1.0,0.0,0.3333333333333333,306976.4691358025,4187.699034756303,2.7184906009102785,video
220.181.106.151:5222-61.139.26.122:59426-6,3.0,198.0,125.51079511642456,66.0,1.5775535468190924,0.0,3.0,0.0,0.0,1.0,32.0,3938.2195743238653,0.5258511822730308,video
115.227.15.241:0-61.139.26.122:0-6,6.0,360.0,21.762348890304565,60.0,16.542331979632266,0.0,0.0,0.0,0.0,1.0,0.0,75.42797657828525,2.757055329938711,video
61.139.26.122:45252-162.14.3.250:80-6,6.0,740.0,9.822153091430664,123.33333333333333,75.33989677330655,1.0,5.0,1.0,0.0,0.8333333333333334,16488.888888888894,14.77885823721384,12.556649462217758,video
162.14.3.250:80-61.139.26.122:45252-6,6.0,673.0,9.781623840332031,112.16666666666667,68.80248218348534,1.0,6.0,1.0,0.0,0.8333333333333334,11427.472222222219,14.97749850169292,11.467080363914222,video
61.139.26.122:49556-221.229.52.173:8080-6,48.0,14644.0,240.3235728740692,305.0833333333333,60.934513518045655,1.0,47.0,0.0,0.0,0.4583333333333333,67150.32638888889,241.330375663846,1.2694690316259511,video
61.139.26.122:39706-183.134.98.76:5224-6,4.0,304.0,0.08688497543334961,76.0,3498.8788163173463,1.0,3.0,1.0,0.0,1.0,12.0,0.00039752567352024926,874.7197040793366,video
61.139.26.122:39708-183.134.98.76:5224-6,5.0,591.0,0.09360289573669434,118.2,6313.907228495233,1.0,4.0,1.0,0.0,0.8,7132.960000000001,0.00023252799108419708,1262.7814456990466,video
61.139.26.122:40412-183.134.98.101:5224-6,4.0,304.0,0.07942795753479004,76.0,3827.3677107565773,1.0,3.0,1.0,0.0,1.0,12.0,0.00030217146408833493,956.8419276891443,video
61.139.26.122:39712-183.134.98.76:5224-6,4.0,304.0,0.08538389205932617,76.0,3560.390521771667,1.0,3.0,1.0,0.0,1.0,12.0,0.0004020149818239184,890.0976304429167,video
221.229.52.173:8080-61.139.26.122:49556-6,51.0,11200.0,240.1970660686493,219.6078431372549,46.628379702185846,1.0,51.0,0.0,0.0,0.4117647058823529,36776.47366397539,228.46048475194587,0.9142819549448206,video
183.134.98.76:5224-61.139.26.122:39708-6,5.0,640.0,0.09326696395874023,128.0,6862.022444336511,1.0,5.0,1.0,0.0,0.8,10825.6,0.0005398639621176926,1372.4044888673022,video
183.134.98.101:5224-61.139.26.122:40412-6,2.0,156.0,0.04054403305053711,78.0,3847.668528820257,1.0,2.0,1.0,0.0,1.0,16.0,0.0,1923.8342644101285,video
183.134.98.76:5224-61.139.26.122:39706-6,2.0,156.0,0.04281902313232422,78.0,3643.240517606183,1.0,2.0,1.0,0.0,1.0,16.0,0.0,1821.6202588030915,video
183.134.98.76:5224-61.139.26.122:39712-6,2.0,156.0,0.04224705696105957,78.0,3692.5649079837694,1.0,2.0,1.0,0.0,1.0,16.0,0.0,1846.2824539918847,video
61.139.26.122:59382-203.107.1.65:80-6,16.0,1670.0,53.422544956207275,104.375,31.260210485460206,1.0,15.0,9.0,0.0,0.875,11759.484375,29.454006428147416,1.9537631553412629,video
61.139.26.122:47956-140.143.180.29:80-6,2.0,124.0,0.0384058952331543,62.0,3228.670995617248,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1614.335497808624,video
