flow_id,packets,bytes,duration,avg_pkt_size,syn_count,ack_count,fin_count,rst_count,class
25.170.108.114:443-95.137.109.27:57732-6,53.0,47122.0,25.089773178100586,889.0943396226415,1.0,53.0,1.0,0.0,instant-message
95.137.109.27:57732-25.170.108.114:443-6,36.0,4997.0,25.089712858200073,138.80555555555554,0.0,36.0,1.0,0.0,instant-message
61.139.26.122:57732-222.79.113.40:443-6,36.0,5285.0,25.0891170501709,146.80555555555554,0.0,36.0,1.0,0.0,instant-message
95.137.109.27:59429-233.161.181.133:8000-17,527.0,100379.0,300.4097509384155,190.47248576850095,0.0,0.0,0.0,0.0,instant-message
61.139.26.122:59429-180.101.246.168:8000-17,527.0,104595.0,300.4097809791565,198.47248576850095,0.0,0.0,0.0,0.0,instant-message
95.137.109.27:57725-131.130.231.131:80-6,21.0,5230.0,22.040390968322754,249.04761904761904,0.0,21.0,1.0,0.0,instant-message
61.139.26.122:57725-121.14.193.44:80-6,21.0,5398.0,22.0398211479187,257.04761904761904,0.0,21.0,1.0,0.0,instant-message
222.79.113.40:443-61.139.26.122:57732-6,52.0,47394.0,25.03630805015564,911.4230769230769,0.0,52.0,1.0,0.0,instant-message
180.101.246.168:8000-61.139.26.122:59429-17,405.0,116701.0,300.4063711166382,288.1506172839506,0.0,0.0,0.0,0.0,instant-message
233.161.181.133:8000-95.137.109.27:59429-17,405.0,113461.0,300.40634202957153,280.1506172839506,0.0,0.0,0.0,0.0,instant-message
121.14.193.44:80-61.139.26.122:57725-6,26.0,10972.0,21.960426092147827,422.0,0.0,26.0,1.0,0.0,instant-message
131.130.231.131:80-95.137.109.27:57725-6,26.0,10854.0,21.96074414253235,417.46153846153845,0.0,26.0,1.0,0.0,instant-message
183.47.99.109:80-61.139.26.122:57722-6,6.0,6997.0,22.6209819316864,1166.1666666666667,0.0,6.0,1.0,0.0,instant-message
178.162.5.81:80-95.137.109.27:57722-6,6.0,6955.0,22.622139930725098,1159.1666666666667,0.0,6.0,1.0,0.0,instant-message
95.137.109.27:57722-178.162.5.81:80-6,5.0,270.0,22.62158989906311,54.0,0.0,5.0,1.0,0.0,instant-message
61.139.26.122:57722-183.47.99.109:80-6,5.0,310.0,22.62153196334839,62.0,0.0,5.0,1.0,0.0,instant-message
95.137.109.27:63380-81.179.190.60:53-17,1.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,instant-message
61.139.26.122:48298-61.139.2.69:53-17,61.0,5117.0,295.36432099342346,83.88524590163935,0.0,0.0,0.0,0.0,instant-message
61.139.2.69:53-61.139.26.122:48298-17,61.0,10015.0,295.3635139465332,164.18032786885246,0.0,0.0,0.0,0.0,instant-message
81.179.190.60:53-95.137.109.27:63380-17,1.0,247.0,0.0,247.0,0.0,0.0,0.0,0.0,instant-message
95.137.109.27:57733-215.151.20.17:443-6,17.0,2151.0,24.69807195663452,126.52941176470588,1.0,16.0,1.0,0.0,instant-message
61.139.26.122:57733-27.155.118.60:443-6,17.0,2287.0,24.697492837905884,134.52941176470588,1.0,16.0,1.0,0.0,instant-message
27.155.118.60:443-61.139.26.122:57733-6,23.0,20812.0,24.639559984207153,904.8695652173913,1.0,23.0,1.0,0.0,instant-message
215.151.20.17:443-95.137.109.27:57733-6,23.0,20664.0,24.638937950134277,898.4347826086956,1.0,23.0,1.0,0.0,instant-message
61.139.26.122:44646-101.226.7.207:50080-6,12.0,1098.0,300.4224331378937,91.5,0.0,12.0,0.0,0.0,instant-message
101.226.7.207:50080-61.139.26.122:44646-6,12.0,1074.0,300.38833498954773,89.5,0.0,12.0,0.0,0.0,instant-message
95.137.109.27:63222-81.179.190.60:53-17,1.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,instant-message
81.179.190.60:53-95.137.109.27:63222-17,1.0,247.0,0.0,247.0,0.0,0.0,0.0,0.0,instant-message
95.137.109.27:57734-97.248.58.180:443-6,27.0,3741.0,24.286255836486816,138.55555555555554,1.0,26.0,1.0,0.0,instant-message
