flow_id,packets,bytes,duration,avg_pkt_size,syn_count,ack_count,fin_count,rst_count,class
17.78.121.3:5353-161.221.227.147:5353-17,23.0,6839.0,108.81736421585083,297.3478260869565,0.0,0.0,0.0,0.0,mail
88.99.85.235:443-61.139.26.122:56885-6,13.0,2592.0,180.8085539340973,199.3846153846154,0.0,13.0,1.0,0.0,mail
118.40.164.249:443-4.40.177.33:56885-6,13.0,2518.0,180.80884408950806,193.69230769230768,0.0,13.0,1.0,0.0,mail
4.40.177.33:56885-118.40.164.249:443-6,12.0,834.0,180.56597113609314,69.5,0.0,12.0,1.0,0.0,mail
61.139.26.122:56885-88.99.85.235:443-6,12.0,930.0,180.56545305252075,77.5,0.0,12.0,1.0,0.0,mail
127.0.0.1:0-114.114.114.114:0-1,3.0,318.0,2.003242015838623,106.0,0.0,0.0,0.0,0.0,mail
4.40.177.33:56851-2.37.47.230:443-6,2.0,132.0,8.003298044204712,66.0,2.0,0.0,0.0,0.0,mail
61.139.26.122:56851-142.251.43.10:443-6,2.0,148.0,8.003647089004517,74.0,2.0,0.0,0.0,0.0,mail
4.40.177.33:56820-187.200.33.22:80-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,mail
4.40.177.33:56886-187.200.33.22:80-6,10.0,660.0,36.05056810379028,66.0,10.0,0.0,0.0,0.0,mail
61.139.26.122:56820-120.92.208.196:80-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,mail
61.139.26.122:56886-120.92.208.196:80-6,10.0,740.0,36.050666093826294,74.0,10.0,0.0,0.0,0.0,mail
61.139.26.122:48298-61.139.2.69:53-17,258.0,22515.0,299.9268138408661,87.26744186046511,0.0,0.0,0.0,0.0,mail
4.40.177.33:56853-2.37.47.230:443-6,2.0,132.0,8.006961822509766,66.0,2.0,0.0,0.0,0.0,mail
61.139.26.122:56853-142.251.43.10:443-6,2.0,148.0,8.007134914398193,74.0,2.0,0.0,0.0,0.0,mail
4.40.177.33:56850-175.191.77.153:443-6,10.0,3057.0,85.49156904220581,305.7,0.0,10.0,1.0,1.0,mail
61.139.26.122:56850-14.119.104.189:443-6,11.0,3199.0,85.49135088920593,290.8181818181818,0.0,11.0,1.0,1.0,mail
14.119.104.189:443-61.139.26.122:56850-6,10.0,1092.0,85.49052906036377,109.2,0.0,10.0,1.0,0.0,mail
175.191.77.153:443-4.40.177.33:56850-6,10.0,1054.0,85.49102282524109,105.4,0.0,10.0,1.0,0.0,mail
4.40.177.33:56858-107.9.56.159:443-6,8.0,2106.0,60.942588090896606,263.25,0.0,8.0,1.0,1.0,mail
61.139.26.122:56858-14.119.104.254:443-6,9.0,2261.0,60.943384885787964,251.22222222222223,0.0,9.0,1.0,1.0,mail
14.119.104.254:443-61.139.26.122:56858-6,8.0,1231.0,60.94239592552185,153.875,0.0,8.0,1.0,0.0,mail
107.9.56.159:443-4.40.177.33:56858-6,8.0,1197.0,60.94273614883423,149.625,0.0,8.0,1.0,0.0,mail
4.40.177.33:63324-40.168.246.37:53-17,1.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,mail
4.40.177.33:58974-40.168.246.37:53-17,1.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,mail
61.139.2.69:53-61.139.26.122:48298-17,78.0,14835.0,299.0977199077606,190.19230769230768,0.0,0.0,0.0,0.0,mail
40.168.246.37:53-4.40.177.33:63324-17,1.0,119.0,0.0,119.0,0.0,0.0,0.0,0.0,mail
4.40.177.33:56887-217.89.197.90:443-6,510.0,83356.0,299.8563108444214,163.44313725490196,1.0,509.0,1.0,0.0,mail
61.139.26.122:56887-183.47.114.18:443-6,510.0,88917.0,299.85584688186646,174.3470588235294,1.0,509.0,1.0,0.0,mail
183.47.114.18:443-61.139.26.122:56887-6,671.0,421401.0,299.8222279548645,628.0193740685544,1.0,671.0,1.0,0.0,mail
217.89.197.90:443-4.40.177.33:56887-6,671.0,417113.0,299.82216596603394,621.6289120715351,1.0,671.0,1.0,0.0,mail
4.40.177.33:55042-40.168.246.37:53-17,1.0,77.0,0.0,77.0,0.0,0.0,0.0,0.0,mail
4.40.177.33:56344-40.168.246.37:53-17,1.0,77.0,0.0,77.0,0.0,0.0,0.0,0.0,mail
4.40.177.33:52847-40.168.246.37:53-17,1.0,73.0,0.0,73.0,0.0,0.0,0.0,0.0,mail
4.40.177.33:55920-40.168.246.37:53-17,1.0,73.0,0.0,73.0,0.0,0.0,0.0,0.0,mail
40.168.246.37:53-4.40.177.33:55042-17,1.0,290.0,0.0,290.0,0.0,0.0,0.0,0.0,mail
40.168.246.37:53-4.40.177.33:52847-17,1.0,404.0,0.0,404.0,0.0,0.0,0.0,0.0,mail
4.40.177.33:56888-223.172.200.137:443-6,3279.0,218285.0,299.63736605644226,66.57060079292467,1.0,3278.0,1.0,0.0,mail
4.40.177.33:56889-223.172.200.137:443-6,8.0,1041.0,0.044860124588012695,130.125,1.0,7.0,1.0,1.0,mail
4.40.177.33:56890-80.234.73.196:443-6,10.0,1105.0,0.05752897262573242,110.5,1.0,9.0,1.0,0.0,mail
4.40.177.33:56891-80.234.73.196:443-6,1128.0,65470.0,299.6325149536133,58.040780141843975,1.0,1127.0,1.0,0.0,mail
61.139.26.122:56888-119.0.92.111:443-6,3279.0,252009.0,299.6370060443878,76.85544373284537,1.0,3278.0,1.0,0.0,mail
4.40.177.33:56892-80.234.73.196:443-6,6.0,853.0,0.056095123291015625,142.16666666666666,1.0,5.0,1.0,1.0,mail
61.139.26.122:56889-119.0.92.111:443-6,8.0,1105.0,0.04482293128967285,138.125,1.0,7.0,1.0,1.0,mail
61.139.26.122:56890-119.84.242.123:443-6,10.0,1185.0,0.05689406394958496,118.5,1.0,9.0,1.0,0.0,mail
61.139.26.122:56891-119.84.242.123:443-6,1128.0,80370.0,299.63186287879944,71.25,1.0,1127.0,1.0,0.0,mail
61.139.26.122:56892-119.84.242.123:443-6,6.0,901.0,0.055548906326293945,150.16666666666666,1.0,5.0,1.0,1.0,mail
119.84.242.123:443-61.139.26.122:56890-6,10.0,6791.0,0.04963994026184082,679.1,1.0,10.0,1.0,0.0,mail
80.234.73.196:443-4.40.177.33:56890-6,10.0,6733.0,0.04961514472961426,673.3,1.0,10.0,1.0,0.0,mail
119.84.242.123:443-61.139.26.122:56891-6,2061.0,2990854.0,299.623398065567,1451.1664240659875,1.0,2061.0,1.0,0.0,mail
119.84.242.123:443-61.139.26.122:56892-6,7.0,5411.0,0.0525209903717041,773.0,1.0,7.0,1.0,0.0,mail
80.234.73.196:443-4.40.177.33:56891-6,2061.0,2974599.0,299.62397599220276,1443.2794759825329,1.0,2061.0,1.0,0.0,mail
80.234.73.196:443-4.40.177.33:56892-6,7.0,5367.0,0.052642107009887695,766.7142857142857,1.0,7.0,1.0,0.0,mail
119.0.92.111:443-61.139.26.122:56888-6,3843.0,5254788.0,299.62368392944336,1367.3661202185792,1.0,3843.0,1.0,0.0,mail
207.164.182.121:2103-77.134.10.98:2103-17,61.0,7991.0,300.2441670894623,131.0,0.0,0.0,0.0,0.0,mail
223.172.200.137:443-4.40.177.33:56888-6,3843.0,5225217.0,299.6240599155426,1359.671350507416,1.0,3843.0,1.0,0.0,mail
119.0.92.111:443-61.139.26.122:56889-6,11.0,6423.0,0.03851509094238281,583.9090909090909,1.0,11.0,1.0,0.0,mail
223.172.200.137:443-4.40.177.33:56889-6,11.0,6358.0,0.03877091407775879,578.0,1.0,11.0,1.0,0.0,mail
119.84.242.123:0-61.139.26.122:0-6,1976.0,118560.0,259.6810109615326,60.0,0.0,0.0,0.0,0.0,mail
80.234.73.196:0-4.40.177.33:0-6,1976.0,118560.0,259.68116784095764,60.0,0.0,0.0,0.0,0.0,mail
119.0.92.111:0-61.139.26.122:0-6,3423.0,205380.0,270.0491797924042,60.0,0.0,0.0,0.0,0.0,mail
