flow_id,packets,bytes,duration,avg_pkt_size,syn_count,ack_count,fin_count,rst_count,class
11.43.99.204:56407-219.62.67.190:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56411-132.225.231.62:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56406-95.53.210.62:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56410-132.225.231.62:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56409-132.225.231.62:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56412-199.111.186.177:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56408-132.225.231.62:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56410-202.160.130.145:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56406-172.217.160.109:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56407-142.251.43.10:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56411-202.160.130.145:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56409-202.160.130.145:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56412-172.217.163.42:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56408-202.160.130.145:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56401-231.20.252.20:443-6,1.0,66.0,0.0,66.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:56401-142.251.42.238:443-6,1.0,74.0,0.0,74.0,1.0,0.0,0.0,0.0,web-browsing
61.139.26.122:44646-101.226.7.207:50080-6,10.0,915.0,251.60557389259338,91.5,0.0,10.0,0.0,0.0,web-browsing
101.226.7.207:50080-61.139.26.122:44646-6,10.0,895.0,251.57228803634644,89.5,0.0,10.0,0.0,0.0,web-browsing
61.139.26.122:48298-61.139.2.69:53-17,395.0,33656.0,299.9662981033325,85.20506329113924,0.0,0.0,0.0,0.0,web-browsing
61.139.26.122:48298-218.6.200.139:53-17,266.0,22642.0,296.8819799423218,85.1203007518797,0.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56426-202.20.51.99:443-6,10.0,3128.0,87.84473896026611,312.8,0.0,10.0,1.0,1.0,web-browsing
61.139.26.122:56426-14.119.104.189:443-6,11.0,3270.0,87.84600782394409,297.27272727272725,0.0,11.0,1.0,1.0,web-browsing
14.119.104.189:443-61.139.26.122:56426-6,10.0,1092.0,87.84644889831543,109.2,0.0,10.0,1.0,0.0,web-browsing
202.20.51.99:443-11.43.99.204:56426-6,10.0,1054.0,87.84684491157532,105.4,0.0,10.0,1.0,0.0,web-browsing
11.43.99.204:56416-57.187.217.42:443-6,6.0,2040.0,60.04034399986267,340.0,0.0,6.0,0.0,0.0,web-browsing
61.139.26.122:56416-14.119.104.254:443-6,7.0,2179.0,60.040082931518555,311.2857142857143,0.0,7.0,0.0,0.0,web-browsing
14.119.104.254:443-61.139.26.122:56416-6,8.0,1233.0,63.047415018081665,154.125,0.0,7.0,1.0,1.0,web-browsing
57.187.217.42:443-11.43.99.204:56416-6,8.0,1199.0,63.04821491241455,149.875,0.0,7.0,1.0,1.0,web-browsing
11.43.99.204:59817-103.186.219.209:53-17,1.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,web-browsing
11.43.99.204:55633-103.186.219.209:53-17,1.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,web-browsing
61.139.2.69:53-61.139.26.122:48298-17,135.0,30451.0,294.4333369731903,225.56296296296296,0.0,0.0,0.0,0.0,web-browsing
103.186.219.209:53-11.43.99.204:59817-17,1.0,187.0,0.0,187.0,0.0,0.0,0.0,0.0,web-browsing
11.43.99.204:56449-88.51.118.149:443-6,219.0,16565.0,144.26920700073242,75.6392694063927,1.0,218.0,1.0,0.0,web-browsing
61.139.26.122:56449-119.0.95.241:443-6,219.0,18759.0,144.26886200904846,85.65753424657534,1.0,218.0,1.0,0.0,web-browsing
119.0.95.241:443-61.139.26.122:56449-6,243.0,307642.0,152.03834700584412,1266.0164609053497,1.0,242.0,1.0,1.0,web-browsing
