window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693900141.261672,1693900142.261672,1,144,1.000000,144.0,144,1,game
1693900142.261672,1693900143.261672,18,5082,1.000000,282.3333333333333,5082,18,game
1693900143.261672,1693900144.261672,576,314467,1.000000,545.9496527777778,314467,576,game
1693900144.261672,1693900145.261672,1202,652591,1.000000,542.9209650582362,652591,1202,game
1693900145.261672,1693900146.261672,2,140,1.000000,70.0,1.4E+2,2,game
1693900146.261672,1693900147.261672,1,144,1.000000,144.0,144,1,game
1693900148.261672,1693900149.261672,2,124,1.000000,62.0,124,2,game
1693900149.261672,1693900150.261672,4,590,1.000000,147.5,5.9E+2,4,game
1693900151.261672,1693900152.261672,1,144,1.000000,144.0,144,1,game
1693900152.261672,1693900153.261672,1,154,1.000000,154.0,154,1,game
1693900154.261672,1693900155.261672,2,418,1.000000,209.0,418,2,game
1693900155.261672,1693900156.261672,3,218,1.000000,72.66666666666667,218,3,game
1693900156.261672,1693900157.261672,135,46564,1.000000,344.9185185185185,46564,135,game
1693900157.261672,1693900158.261672,194,55797,1.000000,287.61340206185565,55797,194,game
1693900159.261672,1693900160.261672,418,190470,1.000000,455.66985645933016,1.9047E+5,418,game
1693900160.261672,1693900161.261672,41,6752,1.000000,164.6829268292683,6752,41,game
1693900161.261672,1693900162.261672,67,17080,1.000000,254.92537313432837,1.708E+4,67,game
1693900162.261672,1693900163.261672,26,9395,1.000000,361.34615384615387,9395,26,game
1693900164.261672,1693900165.261672,1,131,1.000000,131.0,131,1,game
1693900165.261672,1693900166.261672,3,194,1.000000,64.66666666666667,194,3,game
1693900166.261672,1693900167.261672,14,1898,1.000000,135.57142857142858,1898,14,game
1693900167.261672,1693900168.261672,27,1710,1.000000,63.333333333333336,1.71E+3,27,game
1693900168.261672,1693900169.261672,3,210,1.000000,70.0,2.1E+2,3,game
1693900169.261672,1693900170.261672,5,411,1.000000,82.2,411,5,game
1693900171.261672,1693900172.261672,2,214,1.000000,107.0,214,2,game
1693900172.261672,1693900173.261672,6,388,1.000000,64.66666666666667,388,6,game
1693900173.261672,1693900174.261672,2,128,1.000000,64.0,128,2,game
1693900174.261672,1693900175.261672,2,201,1.000000,100.5,201,2,game
1693900175.261672,1693900176.261672,2,140,1.000000,70.0,1.4E+2,2,game
1693900176.261672,1693900177.261672,37,10049,1.000000,271.5945945945946,10049,37,game
1693900177.261672,1693900178.261672,87,53738,1.000000,617.6781609195402,53738,87,game
1693900178.261672,1693900179.261672,9,2244,1.000000,249.33333333333334,2244,9,game
1693900179.261672,1693900180.261672,1,131,1.000000,131.0,131,1,game
1693900180.261672,1693900181.261672,1,70,1.000000,70.0,7E+1,1,game
1693900181.261672,1693900182.261672,3,284,1.000000,94.66666666666667,284,3,game
1693900182.261672,1693900183.261672,2,124,1.000000,62.0,124,2,game
1693900183.261672,1693900184.261672,6,380,1.000000,63.333333333333336,3.8E+2,6,game
1693900184.261672,1693900185.261672,7,519,1.000000,74.14285714285714,519,7,game
1693900185.261672,1693900186.261672,1,62,1.000000,62.0,62,1,game
1693900186.261672,1693900187.261672,25,8264,1.000000,330.56,8264,25,game
1693900187.261672,1693900188.261672,14,1289,1.000000,92.07142857142857,1289,14,game
1693900189.261672,1693900190.261672,15,1109,1.000000,73.93333333333334,1109,15,game
1693900190.261672,1693900191.261672,2,140,1.000000,70.0,1.4E+2,2,game
1693900191.261672,1693900192.261672,12,4615,1.000000,384.5833333333333,4615,12,game
1693900192.261672,1693900193.261672,14,1056,1.000000,75.42857142857143,1056,14,game
1693900193.261672,1693900194.261672,4,296,1.000000,74.0,296,4,game
1693900194.261672,1693900195.261672,553,302120,1.000000,546.3291139240506,3.0212E+5,553,game
1693900195.261672,1693900196.261672,192,111486,1.000000,580.65625,111486,192,game
1693900196.261672,1693900197.261672,97,47488,1.000000,489.5670103092784,47488,97,game
1693900197.261672,1693900198.261672,8,686,1.000000,85.75,686,8,game
1693900198.261672,1693900199.261672,4,334,1.000000,83.5,334,4,game
1693900199.261672,1693900200.261672,19,5097,1.000000,268.2631578947368,5097,19,game
1693900200.261672,1693900201.261672,3,216,1.000000,72.0,216,3,game
1693900201.261672,1693900202.261672,9,738,1.000000,82.0,738,9,game
1693900202.261672,1693900203.261672,10,718,1.000000,71.8,718,1E+1,game
1693900203.261672,1693900204.261672,13,4568,1.000000,351.38461538461536,4568,13,game
1693900204.261672,1693900205.261672,2,348,1.000000,174.0,348,2,game
1693900205.261672,1693900206.261672,8,1437,1.000000,179.625,1437,8,game
1693900206.261672,1693900207.261672,5,577,1.000000,115.4,577,5,game
1693900207.261672,1693900208.261672,8,831,1.000000,103.875,831,8,game
1693900208.261672,1693900209.261672,4,776,1.000000,194.0,776,4,game
1693900209.261672,1693900210.261672,7,555,1.000000,79.28571428571429,555,7,game
1693900211.261672,1693900212.261672,3,272,1.000000,90.66666666666667,272,3,game
1693900212.261672,1693900213.261672,11,2778,1.000000,252.54545454545453,2778,11,game
1693900214.261672,1693900215.261672,4,374,1.000000,93.5,374,4,game
1693900215.261672,1693900216.261672,3,216,1.000000,72.0,216,3,game
1693900216.261672,1693900217.261672,7,547,1.000000,78.14285714285714,547,7,game
1693900217.261672,1693900218.261672,4,232,1.000000,58.0,232,4,game
1693900218.261672,1693900219.261672,5,340,1.000000,68.0,3.4E+2,5,game
1693900219.261672,1693900220.261672,9,658,1.000000,73.11111111111111,658,9,game
1693900220.261672,1693900221.261672,10,805,1.000000,80.5,805,1E+1,game
1693900221.261672,1693900222.261672,4,360,1.000000,90.0,3.6E+2,4,game
1693900222.261672,1693900223.261672,13,1492,1.000000,114.76923076923077,1492,13,game
1693900224.261672,1693900225.261672,8,638,1.000000,79.75,638,8,game
1693900226.261672,1693900227.261672,1,144,1.000000,144.0,144,1,game
1693900227.261672,1693900228.261672,3,216,1.000000,72.0,216,3,game
1693900229.261672,1693900230.261672,3,255,1.000000,85.0,255,3,game
1693900230.261672,1693900231.261672,31,10768,1.000000,347.35483870967744,10768,31,game
1693900231.261672,1693900232.261672,1,144,1.000000,144.0,144,1,game
1693900233.261672,1693900234.261672,13,1360,1.000000,104.61538461538461,1.36E+3,13,game
1693900234.261672,1693900235.261672,2,213,1.000000,106.5,213,2,game
1693900235.261672,1693900236.261672,6,532,1.000000,88.66666666666667,532,6,game
1693900236.261672,1693900237.261672,4,360,1.000000,90.0,3.6E+2,4,game
1693900237.261672,1693900238.261672,68,19450,1.000000,286.02941176470586,1.945E+4,68,game
1693900238.261672,1693900239.261672,56,16932,1.000000,302.35714285714283,16932,56,game
1693900239.261672,1693900240.261672,4,347,1.000000,86.75,347,4,game
1693900241.261672,1693900242.261672,13,888,1.000000,68.3076923076923,888,13,game
1693900242.261672,1693900243.261672,7,464,1.000000,66.28571428571429,464,7,game
1693900243.261672,1693900244.261672,2,144,1.000000,72.0,144,2,game
1693900244.261672,1693900245.261672,43,21696,1.000000,504.5581395348837,21696,43,game
1693900245.261672,1693900246.261672,3,216,1.000000,72.0,216,3,game
1693900246.261672,1693900247.261672,2,206,1.000000,103.0,206,2,game
1693900247.261672,1693900248.261672,3,186,1.000000,62.0,186,3,game
1693900248.261672,1693900249.261672,5,536,1.000000,107.2,536,5,game
1693900249.261672,1693900250.261672,2,201,1.000000,100.5,201,2,game
1693900250.261672,1693900251.261672,5,555,1.000000,111.0,555,5,game
1693900251.261672,1693900252.261672,6,484,1.000000,80.66666666666667,484,6,game
1693900252.261672,1693900253.261672,3,186,1.000000,62.0,186,3,game
1693900254.261672,1693900255.261672,8,626,1.000000,78.25,626,8,game
1693900256.261672,1693900257.261672,1,144,1.000000,144.0,144,1,game
1693900257.261672,1693900258.261672,7,464,1.000000,66.28571428571429,464,7,game
1693900258.261672,1693900259.261672,1,62,1.000000,62.0,62,1,game
1693900259.261672,1693900260.261672,1,131,1.000000,131.0,131,1,game
1693900260.261672,1693900261.261672,6,402,1.000000,67.0,402,6,game
1693900261.261672,1693900262.261672,1,144,1.000000,144.0,144,1,game
1693900262.261672,1693900263.261672,2,124,1.000000,62.0,124,2,game
1693900263.261672,1693900264.261672,3,216,1.000000,72.0,216,3,game
1693900264.261672,1693900265.261672,9,715,1.000000,79.44444444444444,715,9,game
1693900265.261672,1693900266.261672,3,271,1.000000,90.33333333333333,271,3,game
1693900266.261672,1693900267.261672,6,654,1.000000,109.0,654,6,game
1693900267.261672,1693900268.261672,19,1997,1.000000,105.10526315789474,1997,19,game
1693900268.261672,1693900269.261672,15,1701,1.000000,113.4,1701,15,game
1693900269.261672,1693900270.261672,5,415,1.000000,83.0,415,5,game
1693900271.261672,1693900272.261672,1,144,1.000000,144.0,144,1,game
1693900272.261672,1693900273.261672,6,402,1.000000,67.0,402,6,game
1693900273.261672,1693900274.261672,1,60,1.000000,60.0,6E+1,1,game
1693900274.261672,1693900275.261672,1,131,1.000000,131.0,131,1,game
1693900275.261672,1693900276.261672,5,364,1.000000,72.8,364,5,game
1693900276.261672,1693900277.261672,1,144,1.000000,144.0,144,1,game
1693900277.261672,1693900278.261672,3,186,1.000000,62.0,186,3,game
1693900278.261672,1693900279.261672,3,216,1.000000,72.0,216,3,game
1693900279.261672,1693900280.261672,4,317,1.000000,79.25,317,4,game
1693900280.261672,1693900281.261672,3,186,1.000000,62.0,186,3,game
1693900281.261672,1693900282.261672,4,360,1.000000,90.0,3.6E+2,4,game
1693900282.261672,1693900283.261672,4,2360,1.000000,590.0,2.36E+3,4,game
1693900283.261672,1693900284.261672,4,1474,1.000000,368.5,1474,4,game
1693900284.261672,1693900285.261672,6,1527,1.000000,254.5,1527,6,game
1693900286.261672,1693900287.261672,1,144,1.000000,144.0,144,1,game
1693900287.261672,1693900288.261672,3,216,1.000000,72.0,216,3,game
1693900288.261672,1693900289.261672,4,362,1.000000,90.5,362,4,game
1693900289.261672,1693900290.261672,1,131,1.000000,131.0,131,1,game
1693900290.261672,1693900291.261672,5,352,1.000000,70.4,352,5,game
