window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693899429.966343,1693899430.966343,497,153868,1.000000,309.59356136820924,153868,497,instant-message
1693899430.966343,1693899431.966343,134,86374,1.000000,644.5820895522388,86374,134,instant-message
1693899431.966343,1693899432.966343,158,94060,1.000000,595.3164556962025,9.406E+4,158,instant-message
1693899432.966343,1693899433.966343,301,112154,1.000000,372.6046511627907,112154,301,instant-message
1693899433.966343,1693899434.966343,120,28347,1.000000,236.225,28347,1.2E+2,instant-message
1693899434.966343,1693899435.966343,112,26484,1.000000,236.46428571428572,26484,112,instant-message
1693899435.966343,1693899436.966343,61,13512,1.000000,221.50819672131146,13512,61,instant-message
1693899436.966343,1693899437.966343,6,750,1.000000,125.0,7.5E+2,6,instant-message
1693899437.966343,1693899438.966343,12,1116,1.000000,93.0,1116,12,instant-message
1693899438.966343,1693899439.966343,31,3035,1.000000,97.90322580645162,3035,31,instant-message
1693899439.966343,1693899440.966343,10,892,1.000000,89.2,892,1E+1,instant-message
1693899440.966343,1693899441.966343,39,12756,1.000000,327.0769230769231,12756,39,instant-message
1693899441.966343,1693899442.966343,14,7184,1.000000,513.1428571428571,7184,14,instant-message
1693899443.966343,1693899444.966343,3,365,1.000000,121.66666666666667,365,3,instant-message
1693899444.966343,1693899445.966343,8,1644,1.000000,205.5,1644,8,instant-message
1693899445.966343,1693899446.966343,3,268,1.000000,89.33333333333333,268,3,instant-message
1693899446.966343,1693899447.966343,8,694,1.000000,86.75,694,8,instant-message
1693899447.966343,1693899448.966343,4,272,1.000000,68.0,272,4,instant-message
1693899448.966343,1693899449.966343,7,907,1.000000,129.57142857142858,907,7,instant-message
1693899449.966343,1693899450.966343,4,350,1.000000,87.5,3.5E+2,4,instant-message
1693899450.966343,1693899451.966343,141,38438,1.000000,272.6099290780142,38438,141,instant-message
1693899451.966343,1693899452.966343,260,68378,1.000000,262.9923076923077,68378,2.6E+2,instant-message
1693899452.966343,1693899453.966343,155,52220,1.000000,336.9032258064516,5.222E+4,155,instant-message
1693899453.966343,1693899454.966343,15,6131,1.000000,408.73333333333335,6131,15,instant-message
1693899454.966343,1693899455.966343,292,78856,1.000000,270.05479452054794,78856,292,instant-message
1693899455.966343,1693899456.966343,63,14808,1.000000,235.04761904761904,14808,63,instant-message
1693899456.966343,1693899457.966343,15,3826,1.000000,255.06666666666666,3826,15,instant-message
1693899457.966343,1693899458.966343,3,186,1.000000,62.0,186,3,instant-message
1693899458.966343,1693899459.966343,21,4983,1.000000,237.28571428571428,4983,21,instant-message
1693899459.966343,1693899460.966343,20,3190,1.000000,159.5,3.19E+3,2E+1,instant-message
1693899460.966343,1693899461.966343,8,1636,1.000000,204.5,1636,8,instant-message
1693899461.966343,1693899462.966343,42,20124,1.000000,479.14285714285717,20124,42,instant-message
1693899462.966343,1693899463.966343,7,1024,1.000000,146.28571428571428,1024,7,instant-message
1693899463.966343,1693899464.966343,17,2499,1.000000,147.0,2499,17,instant-message
1693899464.966343,1693899465.966343,24,4176,1.000000,174.0,4176,24,instant-message
1693899465.966343,1693899466.966343,17,4026,1.000000,236.8235294117647,4026,17,instant-message
1693899466.966343,1693899467.966343,14,2600,1.000000,185.71428571428572,2.6E+3,14,instant-message
1693899467.966343,1693899468.966343,7,993,1.000000,141.85714285714286,993,7,instant-message
1693899468.966343,1693899469.966343,3,255,1.000000,85.0,255,3,instant-message
1693899469.966343,1693899470.966343,13,1208,1.000000,92.92307692307692,1208,13,instant-message
1693899470.966343,1693899471.966343,11,1822,1.000000,165.63636363636363,1822,11,instant-message
1693899471.966343,1693899472.966343,20,8934,1.000000,446.7,8934,2E+1,instant-message
1693899472.966343,1693899473.966343,2,170,1.000000,85.0,1.7E+2,2,instant-message
1693899473.966343,1693899474.966343,19,1932,1.000000,101.6842105263158,1932,19,instant-message
1693899474.966343,1693899475.966343,83,14726,1.000000,177.42168674698794,14726,83,instant-message
1693899475.966343,1693899476.966343,27,3303,1.000000,122.33333333333333,3303,27,instant-message
1693899476.966343,1693899477.966343,28,2645,1.000000,94.46428571428571,2645,28,instant-message
1693899477.966343,1693899478.966343,23,1917,1.000000,83.34782608695652,1917,23,instant-message
1693899478.966343,1693899479.966343,59,8997,1.000000,152.4915254237288,8997,59,instant-message
1693899479.966343,1693899480.966343,21,1591,1.000000,75.76190476190476,1591,21,instant-message
1693899480.966343,1693899481.966343,122,20517,1.000000,168.172131147541,20517,122,instant-message
