window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693898362.004763,1693898363.004763,50,7254,1.000000,145.08,7254,5E+1,mail
1693898363.004763,1693898364.004763,4420,2526960,1.000000,571.710407239819,2.52696E+6,4.42E+3,mail
1693898364.004763,1693898365.004763,3906,2300288,1.000000,588.9114183307731,2300288,3906,mail
1693898365.004763,1693898366.004763,841,417849,1.000000,496.8478002378121,417849,841,mail
1693898366.004763,1693898367.004763,26,6423,1.000000,247.03846153846155,6423,26,mail
1693898367.004763,1693898368.004763,291,107664,1.000000,369.97938144329896,107664,291,mail
1693898368.004763,1693898369.004763,39,11558,1.000000,296.35897435897436,11558,39,mail
1693898369.004763,1693898370.004763,42,5753,1.000000,136.97619047619048,5753,42,mail
1693898370.004763,1693898371.004763,28,2355,1.000000,84.10714285714286,2355,28,mail
1693898371.004763,1693898372.004763,18,2264,1.000000,125.77777777777777,2264,18,mail
1693898372.004763,1693898373.004763,5,391,1.000000,78.2,391,5,mail
1693898373.004763,1693898374.004763,23,1485,1.000000,64.56521739130434,1485,23,mail
1693898374.004763,1693898375.004763,39,12048,1.000000,308.9230769230769,12048,39,mail
1693898375.004763,1693898376.004763,2,298,1.000000,149.0,298,2,mail
1693898376.004763,1693898377.004763,13,1001,1.000000,77.0,1001,13,mail
1693898377.004763,1693898378.004763,19,1416,1.000000,74.52631578947368,1416,19,mail
1693898378.004763,1693898379.004763,1611,900679,1.000000,559.08069522036,900679,1611,mail
1693898379.004763,1693898380.004763,2889,1579368,1.000000,546.6832814122533,1579368,2889,mail
1693898380.004763,1693898381.004763,209,59925,1.000000,286.7224880382775,59925,209,mail
1693898381.004763,1693898382.004763,1574,820794,1.000000,521.4701397712834,820794,1574,mail
1693898382.004763,1693898383.004763,997,524993,1.000000,526.5727181544634,524993,997,mail
1693898383.004763,1693898384.004763,148,40496,1.000000,273.6216216216216,40496,148,mail
1693898384.004763,1693898385.004763,70,24356,1.000000,347.9428571428571,24356,7E+1,mail
1693898385.004763,1693898386.004763,1511,716841,1.000000,474.41495698213106,716841,1511,mail
1693898386.004763,1693898387.004763,97,21176,1.000000,218.30927835051546,21176,97,mail
1693898387.004763,1693898388.004763,99,45811,1.000000,462.73737373737373,45811,99,mail
1693898388.004763,1693898389.004763,116,40081,1.000000,345.5258620689655,40081,116,mail
1693898389.004763,1693898390.004763,34,2272,1.000000,66.82352941176471,2272,34,mail
1693898390.004763,1693898391.004763,3,284,1.000000,94.66666666666667,284,3,mail
1693898391.004763,1693898392.004763,65,10622,1.000000,163.41538461538462,10622,65,mail
1693898392.004763,1693898393.004763,531,227356,1.000000,428.16572504708097,227356,531,mail
1693898393.004763,1693898394.004763,75,14556,1.000000,194.08,14556,75,mail
1693898394.004763,1693898395.004763,16,6182,1.000000,386.375,6182,16,mail
1693898395.004763,1693898396.004763,7,548,1.000000,78.28571428571429,548,7,mail
1693898396.004763,1693898397.004763,13,912,1.000000,70.15384615384616,912,13,mail
1693898397.004763,1693898398.004763,19,6390,1.000000,336.3157894736842,6.39E+3,19,mail
1693898398.004763,1693898399.004763,24,2069,1.000000,86.20833333333333,2069,24,mail
1693898399.004763,1693898400.004763,9,1150,1.000000,127.77777777777777,1.15E+3,9,mail
1693898400.004763,1693898401.004763,62,13394,1.000000,216.03225806451613,13394,62,mail
1693898401.004763,1693898402.004763,28,1814,1.000000,64.78571428571429,1814,28,mail
1693898402.004763,1693898403.004763,14,947,1.000000,67.64285714285714,947,14,mail
1693898403.004763,1693898404.004763,36,7575,1.000000,210.41666666666666,7575,36,mail
1693898404.004763,1693898405.004763,69,4648,1.000000,67.3623188405797,4648,69,mail
1693898405.004763,1693898406.004763,10,921,1.000000,92.1,921,1E+1,mail
1693898406.004763,1693898407.004763,29,7213,1.000000,248.72413793103448,7213,29,mail
1693898407.004763,1693898408.004763,21,1595,1.000000,75.95238095238095,1595,21,mail
1693898408.004763,1693898409.004763,15,1050,1.000000,70.0,1.05E+3,15,mail
1693898409.004763,1693898410.004763,31,7230,1.000000,233.2258064516129,7.23E+3,31,mail
1693898410.004763,1693898411.004763,101,34609,1.000000,342.66336633663366,34609,101,mail
