window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693896868.195161,1693896869.195161,265,94732,1.000000,357.4792452830189,94732,265,network-storage
1693896869.195161,1693896870.195161,194,91852,1.000000,473.4639175257732,91852,194,network-storage
1693896870.195161,1693896871.195161,12,4653,1.000000,387.75,4653,12,network-storage
1693896871.195161,1693896872.195161,25,4638,1.000000,185.52,4638,25,network-storage
1693896872.195161,1693896873.195161,60,18350,1.000000,305.8333333333333,1.835E+4,6E+1,network-storage
1693896873.195161,1693896874.195161,5,1877,1.000000,375.4,1877,5,network-storage
1693896874.195161,1693896875.195161,223,116042,1.000000,520.3677130044844,116042,223,network-storage
1693896875.195161,1693896876.195161,535,238274,1.000000,445.37196261682243,238274,535,network-storage
1693896876.195161,1693896877.195161,232,119387,1.000000,514.5991379310345,119387,232,network-storage
1693896877.195161,1693896878.195161,67,14541,1.000000,217.02985074626866,14541,67,network-storage
1693896878.195161,1693896879.195161,69,18015,1.000000,261.0869565217391,18015,69,network-storage
1693896879.195161,1693896880.195161,40,13598,1.000000,339.95,13598,4E+1,network-storage
1693896880.195161,1693896881.195161,30,10469,1.000000,348.96666666666664,10469,3E+1,network-storage
1693896881.195161,1693896882.195161,692,346665,1.000000,500.96098265895955,346665,692,network-storage
1693896882.195161,1693896883.195161,877,475230,1.000000,541.8814139110605,4.7523E+5,877,network-storage
1693896883.195161,1693896884.195161,23,2856,1.000000,124.17391304347827,2856,23,network-storage
1693896884.195161,1693896885.195161,9,1017,1.000000,113.0,1017,9,network-storage
1693896885.195161,1693896886.195161,13,1058,1.000000,81.38461538461539,1058,13,network-storage
1693896886.195161,1693896887.195161,10,1881,1.000000,188.1,1881,1E+1,network-storage
1693896887.195161,1693896888.195161,52,22349,1.000000,429.78846153846155,22349,52,network-storage
1693896888.195161,1693896889.195161,121,51747,1.000000,427.6611570247934,51747,121,network-storage
1693896889.195161,1693896890.195161,5,2834,1.000000,566.8,2834,5,network-storage
1693896890.195161,1693896891.195161,8,1638,1.000000,204.75,1638,8,network-storage
1693896891.195161,1693896892.195161,15,3277,1.000000,218.46666666666667,3277,15,network-storage
1693896892.195161,1693896893.195161,2,207,1.000000,103.5,207,2,network-storage
1693896893.195161,1693896894.195161,6,970,1.000000,161.66666666666666,9.7E+2,6,network-storage
1693896894.195161,1693896895.195161,4,742,1.000000,185.5,742,4,network-storage
1693896895.195161,1693896896.195161,18,8659,1.000000,481.05555555555554,8659,18,network-storage
1693896896.195161,1693896897.195161,16,3375,1.000000,210.9375,3375,16,network-storage
1693896897.195161,1693896898.195161,98,14125,1.000000,144.1326530612245,14125,98,network-storage
1693896898.195161,1693896899.195161,35,3216,1.000000,91.88571428571429,3216,35,network-storage
1693896899.195161,1693896900.195161,33,2629,1.000000,79.66666666666667,2629,33,network-storage
1693896900.195161,1693896901.195161,57,14006,1.000000,245.71929824561403,14006,57,network-storage
1693896901.195161,1693896902.195161,9,1309,1.000000,145.44444444444446,1309,9,network-storage
1693896902.195161,1693896903.195161,15,2699,1.000000,179.93333333333334,2699,15,network-storage
1693896903.195161,1693896904.195161,26,8040,1.000000,309.2307692307692,8.04E+3,26,network-storage
1693896904.195161,1693896905.195161,4,366,1.000000,91.5,366,4,network-storage
1693896905.195161,1693896906.195161,10,1317,1.000000,131.7,1317,1E+1,network-storage
1693896906.195161,1693896907.195161,19,2035,1.000000,107.10526315789474,2035,19,network-storage
1693896907.195161,1693896908.195161,32,5151,1.000000,160.96875,5151,32,network-storage
1693896908.195161,1693896909.195161,6,497,1.000000,82.83333333333333,497,6,network-storage
1693896909.195161,1693896910.195161,9,1659,1.000000,184.33333333333334,1659,9,network-storage
1693896910.195161,1693896911.195161,6,1006,1.000000,167.66666666666666,1006,6,network-storage
1693896911.195161,1693896912.195161,41,10788,1.000000,263.1219512195122,10788,41,network-storage
1693896912.195161,1693896913.195161,19,1611,1.000000,84.78947368421052,1611,19,network-storage
1693896913.195161,1693896914.195161,8,1266,1.000000,158.25,1266,8,network-storage
1693896914.195161,1693896915.195161,3,749,1.000000,249.66666666666666,749,3,network-storage
1693896915.195161,1693896916.195161,12,1246,1.000000,103.83333333333333,1246,12,network-storage
1693896916.195161,1693896917.195161,1,130,1.000000,130.0,1.3E+2,1,network-storage
1693896917.195161,1693896918.195161,13,1985,1.000000,152.69230769230768,1985,13,network-storage
1693896918.195161,1693896919.195161,29,9327,1.000000,321.62068965517244,9327,29,network-storage
1693896919.195161,1693896920.195161,5,464,1.000000,92.8,464,5,network-storage
1693896920.195161,1693896921.195161,4,1446,1.000000,361.5,1446,4,network-storage
1693896921.195161,1693896922.195161,9,1266,1.000000,140.66666666666666,1266,9,network-storage
1693896922.195161,1693896923.195161,6,553,1.000000,92.16666666666667,553,6,network-storage
1693896923.195161,1693896924.195161,4,346,1.000000,86.5,346,4,network-storage
1693896924.195161,1693896925.195161,15,1515,1.000000,101.0,1515,15,network-storage
1693896925.195161,1693896926.195161,15,1541,1.000000,102.73333333333333,1541,15,network-storage
1693896926.195161,1693896927.195161,28,7329,1.000000,261.75,7329,28,network-storage
1693896927.195161,1693896928.195161,297,245550,1.000000,826.7676767676768,2.4555E+5,297,network-storage
1693896928.195161,1693896929.195161,6,994,1.000000,165.66666666666666,994,6,network-storage
1693896929.195161,1693896930.195161,27,2716,1.000000,100.5925925925926,2716,27,network-storage
1693896930.195161,1693896931.195161,21,2213,1.000000,105.38095238095238,2213,21,network-storage
1693896931.195161,1693896932.195161,5,390,1.000000,78.0,3.9E+2,5,network-storage
1693896932.195161,1693896933.195161,28,5821,1.000000,207.89285714285714,5821,28,network-storage
1693896933.195161,1693896934.195161,8,2460,1.000000,307.5,2.46E+3,8,network-storage
1693896934.195161,1693896935.195161,26,8288,1.000000,318.7692307692308,8288,26,network-storage
1693896935.195161,1693896936.195161,9,1747,1.000000,194.11111111111111,1747,9,network-storage
1693896936.195161,1693896937.195161,6,999,1.000000,166.5,999,6,network-storage
1693896937.195161,1693896938.195161,12,1590,1.000000,132.5,1.59E+3,12,network-storage
1693896938.195161,1693896939.195161,5,549,1.000000,109.8,549,5,network-storage
1693896939.195161,1693896940.195161,2,164,1.000000,82.0,164,2,network-storage
1693896940.195161,1693896941.195161,8,1162,1.000000,145.25,1162,8,network-storage
1693896941.195161,1693896942.195161,7,2107,1.000000,301.0,2107,7,network-storage
1693896942.195161,1693896943.195161,8,1613,1.000000,201.625,1613,8,network-storage
1693896943.195161,1693896944.195161,4,330,1.000000,82.5,3.3E+2,4,network-storage
1693896944.195161,1693896945.195161,4,1879,1.000000,469.75,1879,4,network-storage
1693896945.195161,1693896946.195161,5,460,1.000000,92.0,4.6E+2,5,network-storage
1693896946.195161,1693896947.195161,1,130,1.000000,130.0,1.3E+2,1,network-storage
1693896947.195161,1693896948.195161,10,1467,1.000000,146.7,1467,1E+1,network-storage
1693896948.195161,1693896949.195161,12,1849,1.000000,154.08333333333334,1849,12,network-storage
1693896949.195161,1693896950.195161,2,216,1.000000,108.0,216,2,network-storage
1693896950.195161,1693896951.195161,1,131,1.000000,131.0,131,1,network-storage
1693896951.195161,1693896952.195161,6,1033,1.000000,172.16666666666666,1033,6,network-storage
1693896952.195161,1693896953.195161,38,7272,1.000000,191.3684210526316,7272,38,network-storage
1693896953.195161,1693896954.195161,130,37543,1.000000,288.7923076923077,37543,1.3E+2,network-storage
1693896954.195161,1693896955.195161,336,92609,1.000000,275.6220238095238,92609,336,network-storage
1693896955.195161,1693896956.195161,957,363327,1.000000,379.65203761755487,363327,957,network-storage
1693896956.195161,1693896957.195161,301,113977,1.000000,378.66112956810633,113977,301,network-storage
1693896957.195161,1693896958.195161,728,307051,1.000000,421.77335164835165,307051,728,network-storage
1693896958.195161,1693896959.195161,120,48994,1.000000,408.28333333333336,48994,1.2E+2,network-storage
1693896959.195161,1693896960.195161,56,14096,1.000000,251.71428571428572,14096,56,network-storage
1693896960.195161,1693896961.195161,7,1078,1.000000,154.0,1078,7,network-storage
1693896961.195161,1693896962.195161,14,3215,1.000000,229.64285714285714,3215,14,network-storage
1693896962.195161,1693896963.195161,17,4745,1.000000,279.11764705882354,4745,17,network-storage
1693896963.195161,1693896964.195161,13,2168,1.000000,166.76923076923077,2168,13,network-storage
1693896964.195161,1693896965.195161,116,65398,1.000000,563.7758620689655,65398,116,network-storage
1693896965.195161,1693896966.195161,181,48640,1.000000,268.7292817679558,4.864E+4,181,network-storage
1693896966.195161,1693896967.195161,44,16255,1.000000,369.4318181818182,16255,44,network-storage
1693896967.195161,1693896968.195161,38,10295,1.000000,270.92105263157896,10295,38,network-storage
1693896968.195161,1693896969.195161,24,5807,1.000000,241.95833333333334,5807,24,network-storage
1693896969.195161,1693896970.195161,965,514698,1.000000,533.3658031088083,514698,965,network-storage
1693896970.195161,1693896971.195161,350,177501,1.000000,507.1457142857143,177501,3.5E+2,network-storage
1693896971.195161,1693896972.195161,12,1909,1.000000,159.08333333333334,1909,12,network-storage
1693896972.195161,1693896973.195161,12,1380,1.000000,115.0,1.38E+3,12,network-storage
1693896973.195161,1693896974.195161,14,1104,1.000000,78.85714285714286,1104,14,network-storage
1693896974.195161,1693896975.195161,5,903,1.000000,180.6,903,5,network-storage
1693896975.195161,1693896976.195161,12,5667,1.000000,472.25,5667,12,network-storage
1693896976.195161,1693896977.195161,353,171022,1.000000,484.4815864022663,171022,353,network-storage
1693896977.195161,1693896978.195161,16,9119,1.000000,569.9375,9119,16,network-storage
1693896978.195161,1693896979.195161,21,10125,1.000000,482.14285714285717,10125,21,network-storage
1693896979.195161,1693896980.195161,17,9016,1.000000,530.3529411764706,9016,17,network-storage
1693896980.195161,1693896981.195161,2,296,1.000000,148.0,296,2,network-storage
1693896981.195161,1693896982.195161,17,8229,1.000000,484.05882352941177,8229,17,network-storage
1693896982.195161,1693896983.195161,2,130,1.000000,65.0,1.3E+2,2,network-storage
1693896983.195161,1693896984.195161,4,766,1.000000,191.5,766,4,network-storage
1693896984.195161,1693896985.195161,35,10187,1.000000,291.0571428571429,10187,35,network-storage
1693896985.195161,1693896986.195161,57,6022,1.000000,105.64912280701755,6022,57,network-storage
1693896986.195161,1693896987.195161,12,994,1.000000,82.83333333333333,994,12,network-storage
1693896987.195161,1693896988.195161,25,1874,1.000000,74.96,1874,25,network-storage
1693896988.195161,1693896989.195161,72,20391,1.000000,283.2083333333333,20391,72,network-storage
1693896989.195161,1693896990.195161,29,10246,1.000000,353.3103448275862,10246,29,network-storage
1693896990.195161,1693896991.195161,30,14650,1.000000,488.3333333333333,1.465E+4,3E+1,network-storage
1693896991.195161,1693896992.195161,27,8976,1.000000,332.44444444444446,8976,27,network-storage
1693896992.195161,1693896993.195161,15,8140,1.000000,542.6666666666666,8.14E+3,15,network-storage
1693896993.195161,1693896994.195161,15,8119,1.000000,541.2666666666667,8119,15,network-storage
1693896994.195161,1693896995.195161,15,8078,1.000000,538.5333333333333,8078,15,network-storage
