window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693897322.577452,1693897323.577452,1431,987801,1.000000,690.2872117400419,987801,1431,video
1693897323.577452,1693897324.577452,46,16015,1.000000,348.1521739130435,16015,46,video
1693897324.577452,1693897325.577452,42,14051,1.000000,334.54761904761904,14051,42,video
1693897325.577452,1693897326.577452,492,151302,1.000000,307.5243902439024,151302,492,video
1693897326.577452,1693897327.577452,379,146994,1.000000,387.84696569920845,146994,379,video
1693897327.577452,1693897328.577452,299,161470,1.000000,540.0334448160535,1.6147E+5,299,video
1693897328.577452,1693897329.577452,1204,657153,1.000000,545.8081395348837,657153,1204,video
1693897329.577452,1693897330.577452,213,104322,1.000000,489.77464788732397,104322,213,video
1693897330.577452,1693897331.577452,1057,608035,1.000000,575.2459791863765,608035,1057,video
1693897331.577452,1693897332.577452,34,11195,1.000000,329.2647058823529,11195,34,video
1693897332.577452,1693897333.577452,1,62,1.000000,62.0,62,1,video
1693897333.577452,1693897334.577452,2,206,1.000000,103.0,206,2,video
1693897334.577452,1693897335.577452,6,557,1.000000,92.83333333333333,557,6,video
1693897335.577452,1693897336.577452,88,41241,1.000000,468.64772727272725,41241,88,video
1693897336.577452,1693897337.577452,1582,1025985,1.000000,648.5366624525916,1025985,1582,video
1693897337.577452,1693897338.577452,1673,975360,1.000000,583.0005977286312,9.7536E+5,1673,video
1693897338.577452,1693897339.577452,1292,722676,1.000000,559.3467492260062,722676,1292,video
1693897339.577452,1693897340.577452,1015,531860,1.000000,524.0,5.3186E+5,1015,video
1693897340.577452,1693897341.577452,3302,1951982,1.000000,591.1514233797699,1951982,3302,video
1693897341.577452,1693897342.577452,1562,1350417,1.000000,864.5435339308578,1350417,1562,video
1693897342.577452,1693897343.577452,1471,759270,1.000000,516.1590754588715,7.5927E+5,1471,video
1693897343.577452,1693897344.577452,2430,1535062,1.000000,631.7127572016461,1535062,2.43E+3,video
1693897344.577452,1693897345.577452,3446,2094825,1.000000,607.9004643064422,2094825,3446,video
1693897345.577452,1693897346.577452,5212,2778128,1.000000,533.025326170376,2778128,5212,video
1693897346.577452,1693897347.577452,861,449528,1.000000,522.0998838559814,449528,861,video
1693897347.577452,1693897348.577452,1332,662204,1.000000,497.1501501501501,662204,1332,video
1693897348.577452,1693897349.577452,753,381519,1.000000,506.66533864541833,381519,753,video
1693897349.577452,1693897350.577452,1000,523781,1.000000,523.781,523781,1E+3,video
1693897350.577452,1693897351.577452,1110,499955,1.000000,450.4099099099099,499955,1.11E+3,video
1693897351.577452,1693897352.577452,13119,8183114,1.000000,623.7605000381127,8183114,13119,video
1693897352.577452,1693897353.577452,11291,7148987,1.000000,633.1580019484545,7148987,11291,video
1693897353.577452,1693897354.577452,2473,1510064,1.000000,610.6202992317023,1510064,2473,video
1693897354.577452,1693897355.577452,2403,1500418,1.000000,624.3936745734499,1500418,2403,video
1693897355.577452,1693897356.577452,2492,1587926,1.000000,637.2094703049759,1587926,2492,video
1693897356.577452,1693897357.577452,2151,1361585,1.000000,633.000929800093,1361585,2151,video
1693897357.577452,1693897358.577452,2294,1453595,1.000000,633.6508282476025,1453595,2294,video
1693897358.577452,1693897359.577452,2992,1752458,1.000000,585.7145721925134,1752458,2992,video
1693897359.577452,1693897360.577452,998,638258,1.000000,639.5370741482966,638258,998,video
1693897360.577452,1693897361.577452,4950,3238729,1.000000,654.2886868686869,3238729,4.95E+3,video
1693897361.577452,1693897362.577452,5519,2977482,1.000000,539.496647943468,2977482,5519,video
1693897362.577452,1693897363.577452,1991,735848,1.000000,369.5871421396283,735848,1991,video
1693897363.577452,1693897364.577452,5823,3649673,1.000000,626.7685042074532,3649673,5823,video
1693897364.577452,1693897365.577452,15319,9613256,1.000000,627.5380899536523,9613256,15319,video
1693897365.577452,1693897366.577452,3062,1733835,1.000000,566.2426518615284,1733835,3062,video
1693897366.577452,1693897367.577452,1968,1153552,1.000000,586.1544715447154,1153552,1968,video
