window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693898020.251076,1693898021.251076,30,2308,1.000000,76.93333333333334,2308,3E+1,web-browsing
1693898021.251076,1693898022.251076,14,7037,1.000000,502.64285714285717,7037,14,web-browsing
1693898022.251076,1693898023.251076,3004,1527584,1.000000,508.5166444740346,1527584,3004,web-browsing
1693898023.251076,1693898024.251076,1691,843539,1.000000,498.84033116499114,843539,1691,web-browsing
1693898024.251076,1693898025.251076,1514,774217,1.000000,511.3718626155879,774217,1514,web-browsing
1693898025.251076,1693898026.251076,68,27595,1.000000,405.80882352941177,27595,68,web-browsing
1693898026.251076,1693898027.251076,18,3908,1.000000,217.11111111111111,3908,18,web-browsing
1693898027.251076,1693898028.251076,23,1869,1.000000,81.26086956521739,1869,23,web-browsing
1693898028.251076,1693898029.251076,23,2740,1.000000,119.1304347826087,2.74E+3,23,web-browsing
1693898029.251076,1693898030.251076,31,2503,1.000000,80.74193548387096,2503,31,web-browsing
1693898030.251076,1693898031.251076,20,1491,1.000000,74.55,1491,2E+1,web-browsing
1693898031.251076,1693898032.251076,39,3956,1.000000,101.43589743589743,3956,39,web-browsing
1693898032.251076,1693898033.251076,4,1200,1.000000,300.0,1.2E+3,4,web-browsing
1693898033.251076,1693898034.251076,864,404802,1.000000,468.5208333333333,404802,864,web-browsing
1693898034.251076,1693898035.251076,4896,2823596,1.000000,576.7148692810457,2823596,4896,web-browsing
1693898035.251076,1693898036.251076,7578,4246177,1.000000,560.3295064660861,4246177,7578,web-browsing
1693898036.251076,1693898037.251076,6,420,1.000000,70.0,4.2E+2,6,web-browsing
1693898037.251076,1693898038.251076,26,2760,1.000000,106.15384615384616,2.76E+3,26,web-browsing
1693898038.251076,1693898039.251076,5,1445,1.000000,289.0,1445,5,web-browsing
1693898039.251076,1693898040.251076,12,1017,1.000000,84.75,1017,12,web-browsing
1693898040.251076,1693898041.251076,2,140,1.000000,70.0,1.4E+2,2,web-browsing
1693898041.251076,1693898042.251076,12,5274,1.000000,439.5,5274,12,web-browsing
1693898042.251076,1693898043.251076,5,342,1.000000,68.4,342,5,web-browsing
1693898043.251076,1693898044.251076,9,691,1.000000,76.77777777777777,691,9,web-browsing
1693898044.251076,1693898045.251076,2,361,1.000000,180.5,361,2,web-browsing
1693898045.251076,1693898046.251076,8,802,1.000000,100.25,802,8,web-browsing
1693898046.251076,1693898047.251076,8189,3915490,1.000000,478.1401880571498,3.91549E+6,8189,web-browsing
1693898047.251076,1693898048.251076,221,92657,1.000000,419.26244343891403,92657,221,web-browsing
1693898048.251076,1693898049.251076,46,4493,1.000000,97.67391304347827,4493,46,web-browsing
1693898049.251076,1693898050.251076,14,2132,1.000000,152.28571428571428,2132,14,web-browsing
1693898050.251076,1693898051.251076,45,3330,1.000000,74.0,3.33E+3,45,web-browsing
1693898051.251076,1693898052.251076,22,1646,1.000000,74.81818181818181,1646,22,web-browsing
1693898052.251076,1693898053.251076,40,3921,1.000000,98.025,3921,4E+1,web-browsing
1693898053.251076,1693898054.251076,15,1120,1.000000,74.66666666666667,1.12E+3,15,web-browsing
1693898054.251076,1693898055.251076,19,1404,1.000000,73.89473684210526,1404,19,web-browsing
1693898055.251076,1693898056.251076,15,1055,1.000000,70.33333333333333,1055,15,web-browsing
1693898056.251076,1693898057.251076,15,2012,1.000000,134.13333333333333,2012,15,web-browsing
1693898057.251076,1693898058.251076,8,560,1.000000,70.0,5.6E+2,8,web-browsing
1693898058.251076,1693898059.251076,15,1182,1.000000,78.8,1182,15,web-browsing
1693898059.251076,1693898060.251076,5,495,1.000000,99.0,495,5,web-browsing
1693898060.251076,1693898061.251076,60,6070,1.000000,101.16666666666667,6.07E+3,6E+1,web-browsing
1693898061.251076,1693898062.251076,109,44389,1.000000,407.23853211009174,44389,109,web-browsing
1693898062.251076,1693898063.251076,23,1552,1.000000,67.47826086956522,1552,23,web-browsing
