window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693900141.261672,1693900142.261672,1,144,1.0,144.0,144.0,1.0,game
1693900142.261672,1693900143.261672,18,5082,1.0,282.3333333333333,5082.0,18.0,game
1693900143.261672,1693900144.261672,576,314467,1.0,545.9496527777778,314467.0,576.0,game
1693900144.261672,1693900145.261672,1202,652591,1.0,542.9209650582362,652591.0,1202.0,game
1693900145.261672,1693900146.261672,2,140,1.0,70.0,140.0,2.0,game
1693900146.261672,1693900147.261672,1,144,1.0,144.0,144.0,1.0,game
1693900148.261672,1693900149.261672,2,124,1.0,62.0,124.0,2.0,game
1693900149.261672,1693900150.261672,4,590,1.0,147.5,590.0,4.0,game
1693900151.261672,1693900152.261672,1,144,1.0,144.0,144.0,1.0,game
1693900152.261672,1693900153.261672,1,154,1.0,154.0,154.0,1.0,game
1693900154.261672,1693900155.261672,2,418,1.0,209.0,418.0,2.0,game
1693900155.261672,1693900156.261672,3,218,1.0,72.66666666666667,218.0,3.0,game
1693900156.261672,1693900157.261672,135,46564,1.0,344.9185185185185,46564.0,135.0,game
1693900157.261672,1693900158.261672,194,55797,1.0,287.61340206185565,55797.0,194.0,game
1693900159.261672,1693900160.261672,418,190470,1.0,455.66985645933016,190470.0,418.0,game
1693900160.261672,1693900161.261672,41,6752,1.0,164.6829268292683,6752.0,41.0,game
1693900161.261672,1693900162.261672,67,17080,1.0,254.9253731343284,17080.0,67.0,game
1693900162.261672,1693900163.261672,26,9395,1.0,361.34615384615387,9395.0,26.0,game
1693900164.261672,1693900165.261672,1,131,1.0,131.0,131.0,1.0,game
1693900165.261672,1693900166.261672,3,194,1.0,64.66666666666667,194.0,3.0,game
1693900166.261672,1693900167.261672,14,1898,1.0,135.57142857142858,1898.0,14.0,game
1693900167.261672,1693900168.261672,27,1710,1.0,63.333333333333336,1710.0,27.0,game
1693900168.261672,1693900169.261672,3,210,1.0,70.0,210.0,3.0,game
1693900169.261672,1693900170.261672,5,411,1.0,82.2,411.0,5.0,game
1693900171.261672,1693900172.261672,2,214,1.0,107.0,214.0,2.0,game
1693900172.261672,1693900173.261672,6,388,1.0,64.66666666666667,388.0,6.0,game
1693900173.261672,1693900174.261672,2,128,1.0,64.0,128.0,2.0,game
1693900174.261672,1693900175.261672,2,201,1.0,100.5,201.0,2.0,game
1693900175.261672,1693900176.261672,2,140,1.0,70.0,140.0,2.0,game
1693900176.261672,1693900177.261672,37,10049,1.0,271.5945945945946,10049.0,37.0,game
1693900177.261672,1693900178.261672,87,53738,1.0,617.6781609195402,53738.0,87.0,game
1693900178.261672,1693900179.261672,9,2244,1.0,249.33333333333331,2244.0,9.0,game
1693900179.261672,1693900180.261672,1,131,1.0,131.0,131.0,1.0,game
1693900180.261672,1693900181.261672,1,70,1.0,70.0,70.0,1.0,game
1693900181.261672,1693900182.261672,3,284,1.0,94.66666666666669,284.0,3.0,game
1693900182.261672,1693900183.261672,2,124,1.0,62.0,124.0,2.0,game
1693900183.261672,1693900184.261672,6,380,1.0,63.333333333333336,380.0,6.0,game
1693900184.261672,1693900185.261672,7,519,1.0,74.14285714285714,519.0,7.0,game
1693900185.261672,1693900186.261672,1,62,1.0,62.0,62.0,1.0,game
1693900186.261672,1693900187.261672,25,8264,1.0,330.56,8264.0,25.0,game
1693900187.261672,1693900188.261672,14,1289,1.0,92.07142857142856,1289.0,14.0,game
1693900189.261672,1693900190.261672,15,1109,1.0,73.93333333333334,1109.0,15.0,game
1693900190.261672,1693900191.261672,2,140,1.0,70.0,140.0,2.0,game
1693900191.261672,1693900192.261672,12,4615,1.0,384.5833333333333,4615.0,12.0,game
1693900192.261672,1693900193.261672,14,1056,1.0,75.42857142857143,1056.0,14.0,game
1693900193.261672,1693900194.261672,4,296,1.0,74.0,296.0,4.0,game
1693900194.261672,1693900195.261672,553,302120,1.0,546.3291139240506,302120.0,553.0,game
1693900195.261672,1693900196.261672,192,111486,1.0,580.65625,111486.0,192.0,game
1693900196.261672,1693900197.261672,97,47488,1.0,489.5670103092784,47488.0,97.0,game
1693900197.261672,1693900198.261672,8,686,1.0,85.75,686.0,8.0,game
1693900198.261672,1693900199.261672,4,334,1.0,83.5,334.0,4.0,game
1693900199.261672,1693900200.261672,19,5097,1.0,268.2631578947368,5097.0,19.0,game
1693900200.261672,1693900201.261672,3,216,1.0,72.0,216.0,3.0,game
1693900201.261672,1693900202.261672,9,738,1.0,82.0,738.0,9.0,game
1693900202.261672,1693900203.261672,10,718,1.0,71.8,718.0,10.0,game
1693900203.261672,1693900204.261672,13,4568,1.0,351.38461538461536,4568.0,13.0,game
1693900204.261672,1693900205.261672,2,348,1.0,174.0,348.0,2.0,game
1693900205.261672,1693900206.261672,8,1437,1.0,179.625,1437.0,8.0,game
1693900206.261672,1693900207.261672,5,577,1.0,115.4,577.0,5.0,game
1693900207.261672,1693900208.261672,8,831,1.0,103.875,831.0,8.0,game
1693900208.261672,1693900209.261672,4,776,1.0,194.0,776.0,4.0,game
1693900209.261672,1693900210.261672,7,555,1.0,79.28571428571429,555.0,7.0,game
1693900211.261672,1693900212.261672,3,272,1.0,90.66666666666669,272.0,3.0,game
1693900212.261672,1693900213.261672,11,2778,1.0,252.54545454545453,2778.0,11.0,game
1693900214.261672,1693900215.261672,4,374,1.0,93.5,374.0,4.0,game
1693900215.261672,1693900216.261672,3,216,1.0,72.0,216.0,3.0,game
1693900216.261672,1693900217.261672,7,547,1.0,78.14285714285714,547.0,7.0,game
1693900217.261672,1693900218.261672,4,232,1.0,58.0,232.0,4.0,game
1693900218.261672,1693900219.261672,5,340,1.0,68.0,340.0,5.0,game
